family_name,first_name,gender,twitter_handle,twitter_verified,twitter_id,twitter_name,twitter_created_at,twitter_web_urls
Abad,Damien,H,damienabad,True,76584619,Damien Abad,2009-09-23T07:21:37,twitter.com/damienabad
Abadie,Caroline,F,AbadieCaroline,True,507168683,Abadie Caroline,2012-02-28T10:05:23,twitter.com/AbadieCaroline
Abba,Bérangère,F,b_abba,True,314472161,Berangere Abba,2011-06-10T09:40:47,twitter.com/b_abba
Acquaviva,Jean-Félix,H,JF_Acquaviva,True,3147407366,Jean-Félix Acquaviva,2015-04-10T07:18:30,twitter.com/JF_Acquaviva
Adam,Damien,H,damienadam76,True,15243103,Damien ADAM,2008-06-26T11:49:29,twitter.com/damienadam76
Adam,Lénaïck,H,LenaickADAM,True,413114866,Lénaïck ADAM,2011-11-15T14:08:14,twitter.com/LenaickADAM
Ahamada,Saïd,H,saidahamada,True,119509912,Saïd Ahamada,2010-03-03T21:40:41,twitter.com/saidahamada
Alauzet,Éric,H,ericalauzet,True,842102300,Éric Alauzet,2012-09-23T17:37:06,twitter.com/ericalauzet
Ali,Ramlati,F,RamlatiAli,False,999986689622855680,Ramlati Ali,2018-05-25T12:13:00,twitter.com/RamlatiAli
Aliot,Louis,H,louis_aliot,True,316956459,Louis Aliot,2011-06-14T06:39:22,twitter.com/louis_aliot
Amadou,Aude,F,AudeAmadou,True,1114759578,Aude Amadou,2013-01-23T16:37:29,twitter.com/AudeAmadou
Anato,Patrice,H,patrice_anato,True,3791340735,Patrice Anato #AvecVous,2015-09-27T09:27:26,twitter.com/patrice_anato
André,François,H,FrancoisAndre35,False,430662853,François André,2011-12-07T12:43:25,twitter.com/FrancoisAndre35
Anglade,Pieyre-Alexandre,H,PA_Anglade,True,1255991936,Pieyre-Alexandre Anglade,2013-03-10T03:31:35,twitter.com/PA_Anglade
Anthoine,Emmanuelle,F,eanthoine26,True,807531084678385665,Emmanuelle Anthoine,2016-12-10T10:23:08,twitter.com/eanthoine26
Ardouin,Jean-Philippe,H,jean_ardouin,False,993455378020098049,Jean-Philippe Ardouin,2018-05-07T11:39:54,twitter.com/jean_ardouin
Arend,Christophe,H,christophearend,True,554262922,Christophe Arend,2012-04-15T11:01:03,twitter.com/christophearend
Atger,Stéphanie,F,StephanieAtger,True,1117388032775208960,Stéphanie Atger,2019-04-14T11:24:01,twitter.com/StephanieAtger
Attal,Gabriel,H,GabrielAttal,True,379718466,Gabriel Attal,2011-09-25T12:55:34,twitter.com/GabrielAttal
Aubert,Julien,H,JulienAubert84,True,520259649,Julien Aubert,2012-03-10T09:48:55,twitter.com/JulienAubert84
Auconie,Sophie,F,sophie_auconie,True,187508945,Sophie Auconie,2010-09-06T12:45:09,twitter.com/sophie_auconie
Audibert,Edith,F,AudibertEdith,False,1291053895297445890,Edith Audibert,2020-08-05T16:50:39,twitter.com/AudibertEdith
Autain,Clémentine,F,Clem_Autain,True,491343921,Clémentine Autain,2012-02-13T14:46:13,twitter.com/Clem_Autain
Avia,Laetitia,F,LaetitiaAvia,True,2317502810,Laetitia Avia,2014-01-29T17:19:33,twitter.com/LaetitiaAvia
Aviragnet,Joël,H,JAviragnet,False,2712326416,Joël Aviragnet,2014-07-15T08:43:01,twitter.com/JAviragnet
