id,full_name,twitter_name,twitter_web_urls,tweets_en_captura,top_mentions
441,Huguette Bello,HuguetteBello,twitter.com/HuguetteBello,587,huguettebello:62; region_reunion:20; assembleenat:15; ipreunion:12; younousomarjee:11; ebareigts:9; la1ere:8; deputespcf:7; lcp:6; jlmelenchon:5; zinfoslive:5; linfore:5; manonaubryfr:4; deputeratenon:4; clicanoore:4; youtube:4; deputesfdg:4; outremers360:3; lequotidien:3; andrechassaigne:3; regionsdefrance:2; franceinsoumise:2; sitouzeceline:2; sebguyon:2; villesaintpaul:2; lequotidienrun:2; mainasage:2; nathaliebassire:2; emman:1; rostane_mehdi:1
774956,Yves Hemedinger,YvesHemedinger,twitter.com/YvesHemedinger,581,dnatweets:48; roquejeoffre:23; lalsace:19; eciotti:19; olivierclaudon:17; gwgoldnadel:16; julienaubert84:15; bfm_alsace:15; xavierbertrand:12; cnews:10; phdumont:9; villecolmar:9; europe1:8; valeriehayer:7; laurentwauquiez:6; pascalpraud:6; valeurs:5; phdevilliers:5; fxbellamy:5; slerudulier:5; bfmtv:5; bernardcarayon:5; aurelienpradie:5; brunoretailleau:4; guilhemcarayon:4; e2villiers:4; afpfr:4; emmanuelmacron:4; guillaume_bigot:4; renaissance:4
719480,Olivier Gaillard,OliveGaillard30,twitter.com/OliveGaillard30,580,midilibre:106; gouvernementfr:26; assembleenat:20; olivegaillard30:13; agnesbuzyn:13; gard:12; objectifgard:12; totem_radio:11; brunolemaire:11; bleugardlozere:10; min_ecologie:10; an_finances:10; minsolisante:10; occitanie:9; dguillaume26:9; florence_parly:9; prefet30:9; min_agriculture:7; defense_gouv:7; vidalthomasgard:6; benoitsimian:6; elisabeth_borne:5; economie_gouv:5; midilibreales:5; fderugy:5; ephilippepm:5; an_collterr:4; min_territoires:4; le_figaro:3; alesagglo:3
718838,Fabrice Brun,FabriceBrun,twitter.com/FabriceBrun,575,auvergnerhalpes:36; assembleenat:27; fabricebrun:4; francealzheimer:3; lcp:3; yannickneuder:3; mathdarnaud:2; anemmontagne:2; ledauphine:2; pannekouckefabr:2; meunier_ph:2; renaudpfeffer:2; charlie_hebdo_:1; telethon_france:1; parcoursup_info:1; gendarmerie:1; francetv:1; lesechos:1; auvergne:1; michelbarnier:1; prefet07:1; yaelbraunpivet:1; ffpjp_officiel:1; brlgroupe:1; tcfia:1; jf_rousset2:1; v_riotton:1; sdispompiers07:1; pont:1; claudeaurias:1
721474,Stéphane Viry,ViryStephane,twitter.com/ViryStephane,569,stephaneviry:14; groupeliot_an:13; virystephane:8; assembleenat:5; christophe_p:3; michelbarnier:3; astridpanosyan:3; sports_gouv:2; f_gernigon:2; rmcinfo:2; bfmtv:2; sillon_lorrain:2; lcp:2; letelegramme:1; auroreberge:1; viryst:1; mariebarsacq:1; groupesncf:1; philippetabarot:1; deputeeestelle:1; naimamoutchou:1; brunoretailleau:1; cavautrin:1; pompiersfr:1; lemondefr:1; an_afsoc:1; fredvalletoux:1; latribune:1; aurelienpradie:1; heinrichepinal:1
719718,Laurence Maillart-Méhaignerie,LMaillart,twitter.com/LMaillart,560,emmanuelmacron:53; lcp:24; renaissance_35:20; lmaillart:20; valeriehayer:16; gabrielattal:16; assembleenat:15; equipefra:15; yaelbraunpivet:13; besoindeurope:12; afpfr:10; jy_ledrian:10; jeunesmacron35:8; admdfrance:7; jonathandenis:7; olivierfalorni:7; lesechos:6; renaissance:6; elysee:6; lemondefr:6; france3bretagne:6; ouestfrance:5; zelenskyyua:5; bleuarmorique:5; cessonsevigne:5; deputesre:5; elisabeth_borne:4; ambroise_mejean:4; gerardaraud:4; bfmtv:4
719960,Valéria Faure-Muntian,V_Faure_Muntian,twitter.com/V_Faure_Muntian,517,larem_an:38; v_faure_muntian:33; assnacofin:18; brunolemaire:17; jeunesmacron42:15; assembleenat:13; brunobonnelloff:13; emmanuelmacron:12; agnesrunacher:11; w4c_france:10; cedric_o:10; an_finances:9; jeancastex:9; verkhovna_rada:8; economie_gouv:8; ffa_assurance:8; bfmtv:7; qbataillon:7; edeponcins:7; prefecture42:7; rmarche42:7; anssi_fr:6; campuscyberfr:6; franceenukraine:6; lcp:6; gouvernementfr:6; b_smart_tv:6; oliviagregoire:6; ambroise_mejean:5; 24hpujadas:5
720968,Justine Benin,Justine_BENIN,twitter.com/Justine_BENIN,515,justine_benin:29; seblecornu:25; emmanuelmacron:18; outremers360:15; guadeloupela1e:15; pg_basseterre:12; rci_gp:12; olivierveran:11; assembleenat:10; gouvernementfr:9; patrickmignola:9; la1ere:8; stimpflingeric:8; senateurdtheoph:8; ephilippepm:8; departement_971:6; ns_lhebdo:6; annickgirardin:6; prefet971:5; jborellincertin:5; lesoutremer:5; nsemaine:5; deputesdem:5; maeldisav:5; patbraflantrobo:4; procureur_pap:4; mergouv:4; lcp:4; modem:4; olivier_serva:3
610775,Philippe Gomès,PhilippeGomesCE,twitter.com/PhilippeGomesCE,500,caledoniee:463; ncla1ere:8; la1ere:5; philippegomesce:4; congresnc:4; franceculture:2; annickgirardin:1; erichelard:1; assembleenat:1; le_figaro:1; yvesthreard:1; udi_off:1; laurentwauquiez:1; la_fedom:1; lacroix:1; lepoint:1; seblecornu:1; lncnc:1
720598,Marguerite Deprez-Audebert,MDeprezAudebert,twitter.com/MDeprezAudebert,499,modem:63; agnesrunacher:62; emmanuelmacron:60; elisabeth_borne:52; enmarchefr:23; bayrou:19; bethunemajorite:17; lcp:14; mfesneau:12; jnbarrot:11; brunolemaire:9; valeriehayer:9; brigbourguignon:7; deputesdem:6; j_democrates:6; assembleenat:6; sarahelhairy:5; bfmtv:5; avecvous:5; franceinter:4; philippemichelk:4; renaissance_ue:4; pde_edp:4; jmblanquer:4; grudlerch:3; renaissance:3; renaissance_62:3; e_dupondm:3; patrickmignola:3; europe1:3
330240,Éric Ciotti,ECiotti,twitter.com/ECiotti,499,bernardchaix:13; eciotti:13; lejdd:11; bfmtv:9; groupeudr:7; c_dintorni:6; prlcastillo:4; a_masson06:4; nice_matin:4; valentin_antoi:4; nissarugby:3; ca_ginesy:3; bfmcotedazur:3; cestrosi:3; a_dupalais:2; hanane_mnsr:2; f3cotedazur:2; challoncle:2; challenges:2; rafaelquessada2:2; le_parisien:2; cnews:2; le_figaro:2; chris_gomart:2; bfmtv_inside:1; juliettechesnel:1; mchantrait:1; j_bardella:1; nicepresse:1; maxime_michelet:1
720568,Agnès Thill,ThillAgnes,twitter.com/ThillAgnes,498,plumedaliocha:23; contribuables:18; olivierbabeau:16; le_figaro:15; justice_gouv:12; vtremolet:9; fabienbougle:9; cheocheduval:9; bayrou:9; dominiquereynie:8; alexandrejardin:8; europe1:7; montbrialavocat:7; seblecornu:7; emmanuelmacron:7; davidlisnard:6; h2brgrd:6; michelf29015597:6; paulsugy:6; partisocialiste:6; gouvernementfr:6; interieur_gouv:5; gabriellecluzel:5; charlesprats:5; denispayre:5; femmeazadi:5; cnews:5; alexdevecchio:4; 7559pr:4; agri_gouv:4
721226,Sabine Rubin,SabineRubinFI93,twitter.com/SabineRubinFI93,496,sabinerubinfi93:15; clem_autain:13; ericcoquerel:9; jlmelenchon:8; franceinsoumise:7; jmblanquer:7; deputee_obono:7; trouveaurelie:6; arenasfcpe:6; vpecresse:6; alexiscorbiere:5; olivierveran:4; jeancastex:4; aquatennens:4; snetapfsu:4; vidalfrederique:4; mathildepanot:4; simonnet2:4; francois_ruffin:3; michel_larive:3; ugobernalicis:3; deputeratenon:3; gdarmanin:3; afpsofficiel:3; brunolemaire:2; lacgtcommunique:2; colinchampion_:2; luce_melanie:2; fsunationale:2; mmendiharat:2
720326,Brahim Hammouche,BHammouche5708,twitter.com/BHammouche5708,496,deputesdem:135; emmanuelmacron:55; bhammouche5708:21; jeancastex:19; olivierveran:19; lcp:18; gouvernementfr:17; lerl_thionville:16; cantonhayange21:15; prefet57:12; lci:11; lerl_metz:11; radioorient:10; gdarmanin:10; mosellecd57:10; f3lorraine:9; modem:9; bfmtv:9; hebdo_lasemaine:9; equipedefrance:8; assembleenat:8; bhammouche2022:7; fblorrainenord:7; brunolemaire:6; lacroix:6; lemondefr:6; bayrou:6; jmblanquer:6; enmarche57:5; cbeaune:5
