id,full_name,political_group_abbrev,political_group,twitter_handle,url
720916,Fiona Lazaar,LAREM,La République en Marche,fionalazaar,https://twitter.com/fionalazaar
267785,Guillaume Larrivé,LR,Les Républicains,GLarrive,https://twitter.com/GLarrive
337633,Annick Girardin,LAREM,La République en Marche,AnnickGirardin,https://twitter.com/AnnickGirardin
720830,Valérie Thomas,LAREM,La République en Marche,Vthomas_63,https://twitter.com/Vthomas_63
607155,Yves Daniel,LAREM,La République en Marche,ydaniel_depute,https://twitter.com/ydaniel_depute
721726,Sereine Mauborgne,LAREM,La République en Marche,sereineenmarche,https://twitter.com/sereineenmarche
607193,Sophie Errante,LAREM,La République en Marche,SophieErrante,https://twitter.com/SophieErrante
267042,Yannick Favennec-Bécot,UDI_I,UDI et Indépendants,yfavennec,https://twitter.com/yfavennec
695100,Meyer Habib,UDI-AGIR,"UDI, Agir et Indépendants",Meyer_Habib,https://twitter.com/Meyer_Habib
720030,Alexandre Freschi,LAREM,La République en Marche,AVFreschi,https://twitter.com/AVFreschi
719866,Caroline Abadie,LAREM,La République en Marche,AbadieCaroline,https://twitter.com/AbadieCaroline
608083,Brigitte Bourguignon,LAREM,La République en Marche,BrigBourguignon,https://twitter.com/BrigBourguignon
720772,Vincent Bru,MODEM,Mouvement Démocrate et apparentés,bru_vincent,https://twitter.com/bru_vincent
721800,Fabien Matras,LAREM,La République en Marche,famatras,https://twitter.com/famatras
720138,Laetitia Saint-Paul,LAREM,La République en Marche,l_saintpaul,https://twitter.com/l_saintpaul
720614,Marine Le Pen,NI,Non inscrit,MLP_officiel,https://twitter.com/MLP_officiel
720560,Perrine Goulet,LAREM,La République en Marche,perrinegoulet,https://twitter.com/perrinegoulet
609726,Julien Aubert,LR,Les Républicains,JulienAubert84,https://twitter.com/JulienAubert84
267780,Agnès Firmin Le Bodo,UDI_I,UDI et Indépendants,agnesfirmin,https://twitter.com/agnesfirmin
266808,Vincent Rolland,LR,Les Républicains,VRolland73,https://twitter.com/VRolland73
721560,Benjamin Griveaux,LAREM,La République en Marche,BGriveaux,https://twitter.com/BGriveaux
718810,Mireille Robert,LAREM,La République en Marche,MRobert_11,https://twitter.com/MRobert_11
718674,Olga Givernet,LAREM,La République en Marche,OlgaGivernet,https://twitter.com/OlgaGivernet
719092,Frédérique Tuffnell,LAREM,La République en Marche,Tuffnell17,https://twitter.com/Tuffnell17
605963,Éric Alauzet,LAREM,La République en Marche,ericalauzet,https://twitter.com/ericalauzet
721946,Jacques Marilossian,LAREM,La République en Marche,jmarilossian,https://twitter.com/jmarilossian
720780,Jean-Bernard Sempastous,LAREM,La République en Marche,Sempastoushp,https://twitter.com/Sempastoushp
337483,Serge Letchimy,SOC,Socialistes et apparentés,SergeLetchimy,https://twitter.com/SergeLetchimy
720516,Florence Morlighem,LAREM,La République en Marche,FMorlighem,https://twitter.com/FMorlighem
720146,Denis Masséglia,LAREM,La République en Marche,denis_Masseglia,https://twitter.com/denis_Masseglia
267306,André Chassaigne,GDR,Gauche démocrate et républicaine,AndreChassaigne,https://twitter.com/AndreChassaigne
721466,Gilles Le Gendre,LAREM,La République en Marche,GillesLeGendre,https://twitter.com/GillesLeGendre
607619,Paul Molac,LT,Libertés et Territoires,paul_molac,https://twitter.com/paul_molac
720092,Richard Ramos,MODEM,Mouvement Démocrate et apparentés,_richardramos,https://twitter.com/_richardramos
588884,Clémentine Autain,FI,La France insoumise,Clem_Autain,https://twitter.com/Clem_Autain
722218,Cécile Delpirou,LAREM,La République en Marche,c_delpirou,https://twitter.com/c_delpirou
1206,Nicolas Dupont-Aignan,NI,Non inscrit,dupontaignan,https://twitter.com/dupontaignan
340357,Michèle Victory,NG,Nouvelle Gauche,victory_michele,https://twitter.com/victory_michele
720854,Stéphane Testé,LAREM,La République en Marche,stephane_teste,https://twitter.com/stephane_teste
332614,Régis Juanico,SOC,Socialistes et apparentés,juanico,https://twitter.com/juanico
721644,Rodrigue Kokouendo,LAREM,La République en Marche,RKokouendoJ,https://twitter.com/RKokouendoJ
331481,Bruno Le Maire,LAREM,La République en Marche,BrunoLeMaire,https://twitter.com/BrunoLeMaire
719006,Fabrice Le Vigoureux,LAREM,La République en Marche,LeVigoureuxF,https://twitter.com/LeVigoureuxF
336316,Jean-Claude Bouchet,LR,Les Républicains,JCBOUCHET,https://twitter.com/JCBOUCHET
748954,Antoine Savignat,LR,Les Républicains,antoine7595,https://twitter.com/antoine7595
721202,Éric Coquerel,FI,La France insoumise,ericcoquerel,https://twitter.com/ericcoquerel
1960,Maurice Leroy,LC,"Les Constructifs : républicains, UDI, indépendants",MauriceLeroy,https://twitter.com/MauriceLeroy
718706,Emmanuelle Fontaine-Domeizel,LAREM,La République en Marche,FontainDomeizel,https://twitter.com/FontainDomeizel
643103,Jean-Jacques Ferrara,LR,Les Républicains,jjferrarafb,https://twitter.com/jjferrarafb
719504,Jean-Luc Lagleize,MODEM,Mouvement Démocrate et apparentés,jeanluclagleize,https://twitter.com/jeanluclagleize
718794,Danièle Hérin,LAREM,La République en Marche,Daniele_herin,https://twitter.com/Daniele_herin
719266,Jean-Pierre Cubertafon,MODEM,Mouvement Démocrate et apparentés,dep_cubertafon,https://twitter.com/dep_cubertafon
342601,Pascal Brindeau,UDI-I,UDI et Indépendants,pascalbrindeau,https://twitter.com/pascalbrindeau
719350,Marie Tamarelle-Verhaeghe,LAREM,La République en Marche,marietamarelle,https://twitter.com/marietamarelle
604,Bernard Bouley,LR,Les Républicains,BouleyBernard,https://twitter.com/BouleyBernard
720928,David Corceiro,DEM,Mouvement Démocrate (MoDem) et Démocrates apparentés,CorceiroDavid,https://twitter.com/CorceiroDavid
721984,Philippe Latombe,DEM,Mouvement Démocrate (MoDem) et Démocrates apparentés,platombe,https://twitter.com/platombe
719778,François Jolivet,LAREM,La République en Marche,FJolivet36,https://twitter.com/FJolivet36
720006,Luc Geismar,DEM,Mouvement Démocrate (MoDem) et Démocrates apparentés,GeismarLuc,https://twitter.com/GeismarLuc
720438,Christophe Di Pompeo,LAREM,La République en Marche,DipompeoChrist,https://twitter.com/DipompeoChrist
346054,Emmanuel Maquet,LR,Les Républicains,emmanuel_maquet,https://twitter.com/emmanuel_maquet
720278,Matthieu Orphelin,EDS,Écologie Démocratie Solidarité,M_Orphelin,https://twitter.com/M_Orphelin
677483,Stéphane Mazars,LAREM,La République en Marche,s_mazars,https://twitter.com/s_mazars
774952,Philippe Benassaya,LR,Les Républicains,PhilipBenassaya,https://twitter.com/PhilipBenassaya
720046,Audrey Dufeu,LAREM,La République en Marche,audreydufeu,https://twitter.com/audreydufeu
720468,Sébastien Chenu,NI,Non inscrit,sebchenu,https://twitter.com/sebchenu
721844,Béatrice Piron,LAREM,La République en Marche,beatricepiron,https://twitter.com/beatricepiron
721150,Alexandre Holroyd,LAREM,La République en Marche,alexIholroyd,https://twitter.com/alexIholroyd
719440,Anthony Cellier,LAREM,La République en Marche,anthonycellier,https://twitter.com/anthonycellier
720362,Belkhir Belhaddad,LAREM,La République en Marche,b_belhaddad,https://twitter.com/b_belhaddad
267585,Francis Vercamer,UDI-AGIR,"UDI, Agir et Indépendants",FVercamer,https://twitter.com/FVercamer
722202,Sébastien Jumel,GDR,Gauche démocrate et républicaine,sebastienjumel,https://twitter.com/sebastienjumel
721824,Hugues Renson,LAREM,La République en Marche,huguesrenson,https://twitter.com/huguesrenson
719946,Guillaume Peltier,LR,Les Républicains,G_Peltier,https://twitter.com/G_Peltier
330909,Vincent Descoeur,LR,Les Républicains,VincentDescoeur,https://twitter.com/VincentDescoeur
722150,Sacha Houlié,LAREM,La République en Marche,SachaHoulie,https://twitter.com/SachaHoulie
720038,Sandrine Josso,LT,Libertés et Territoires,sandrinejossoan,https://twitter.com/sandrinejossoan
720488,Valérie Six,UDI_I,UDI et Indépendants,six_valerie,https://twitter.com/six_valerie
719814,Fabienne Colboc,LAREM,La République en Marche,fabiennecolboc,https://twitter.com/fabiennecolboc
607595,Hervé Pellois,LAREM,La République en Marche,HervePellois,https://twitter.com/HervePellois
720210,Valérie Beauvais,LR,Les Républicains,vabeauv,https://twitter.com/vabeauv
720576,Pascal Bois,LAREM,La République en Marche,PascalBoisLaREM,https://twitter.com/PascalBoisLaREM
718962,Jean-Marc Zulesi,LAREM,La République en Marche,jmzulesi,https://twitter.com/jmzulesi
606712,Gilles Lurton,LR,Les Républicains,gilleslurton,https://twitter.com/gilleslurton
721398,Typhanie Degois,LAREM,La République en Marche,Typhanie_Degois,https://twitter.com/Typhanie_Degois
330008,Xavier Breton,LR,Les Républicains,bretonxavier,https://twitter.com/bretonxavier
721336,Blandine Brocard,LAREM,La République en Marche,BBrocard,https://twitter.com/BBrocard
334843,Patrice Verchère,LR,Les Républicains,PatriceVerchere,https://twitter.com/PatriceVerchere
719436,Nicolas Meizonnet,NI,Non inscrit,NMeizonnet,https://twitter.com/NMeizonnet
721564,Élise Fajgeles,LAREM,La République en Marche,EliseFajgeles,https://twitter.com/EliseFajgeles
720402,Xavier Paluszkiewicz,LAREM,La République en Marche,XavierPalu2022,https://twitter.com/XavierPalu2022
719108,Raphaël Gérard,LAREM,La République en Marche,RaphaelGerard17,https://twitter.com/RaphaelGerard17
720622,Carole Bureau-Bonnard,LAREM,La République en Marche,CaroleBBonnard,https://twitter.com/CaroleBBonnard
722022,Laëtitia Romeiro Dias,LAREM,La République en Marche,Romeiro1L,https://twitter.com/Romeiro1L
719736,Camille Galliard-Minier,LAREM,La République en Marche,GalliardM,https://twitter.com/GalliardM
719558,Erwan Balanant,DEM,Mouvement Démocrate (MoDem) et Démocrates apparentés,erwanbalanant,https://twitter.com/erwanbalanant
719326,Séverine Gipson,LAREM,La République en Marche,severine_gipson,https://twitter.com/severine_gipson
720178,Laurent Garcia,MODEM,Mouvement Démocrate et apparentés,GarciaLaxou,https://twitter.com/GarciaLaxou
746,Gilles Carrez,LR,Les Républicains,GillesCarrez,https://twitter.com/GillesCarrez
718736,Bénédicte Peyrol,LAREM,La République en Marche,B_Peyrol,https://twitter.com/B_Peyrol
709315,Arnaud Viala,LR,Les Républicains,arnaudviala,https://twitter.com/arnaudviala
713448,Marine Brenier,LC,"Les Constructifs : républicains, UDI, indépendants",marinebrenier,https://twitter.com/marinebrenier
718918,Alexandra Louis,LAREM,La République en Marche,ALouisMars,https://twitter.com/ALouisMars
719676,Muriel Ressiguier,FI,La France insoumise,mressiguier,https://twitter.com/mressiguier
