party_abbrev,rile_model,n_model,rile_human,n_human,rile_official,ches_party,party_id,lrgen,lrecon,galtan
LFI,-29.38,1113,-26.66,1024,-30.019,FI,627.0,1.25,0.875,3.125
PS,-26.582,79,-27.632,76,-28.947,PS,602.0,3.0,3.125,2.75
MoDem,-22.921,493,-16.593,452,-17.92,MoDem,613.0,6.125,6.25,4.5
EELV,-14.035,228,-7.273,220,,EELV,605.0,2.5,2.875,1.625
LREM,-8.549,386,0.0,362,0.0,LREM,626.0,6.3333335,6.3333335,3.1666667
PRG,-8.16,625,-6.145,537,-10.056,,,,,
FN,-6.204,274,1.674,239,1.674,RN,610.0,9.75,6.875,8.125
PCF,0.0,39,-16.667,36,-16.667,PCF,601.0,1.125,1.125,3.75
LR,4.255,282,13.619,257,13.619,LR,609.0,7.875,8.125,6.875
UDI,4.255,282,13.619,257,13.619,,,,,
