legislature_num,legislature_label,source_filename,intervention_id,seance_id,date,moment,type,section,sous_section,timestamp,intervention_plain,nb_mots,personnalite,parlementaire,parlementaire_sexe,parlementaire_groupe,fonction,source_url,cri_url_legislature_num,cri_session_period,cri_page_file,cri_anchor_id,deputy_id,deputy_full_name,deputy_family_name,deputy_first_name,deputy_gender,birth_date,birth_place,political_group_abbrev,political_group,dept_num,district_name,district_num,mandate_start,mandate_end,former_deputy,twitter_handle,twitter_id,twitter_verified
15,XVe législature (2017-2022),20250916_ND15_interventions_hemicycle_rich.tsv.gz,1,1,2017-06-27,15:00,loi,,,20,La séance est ouverte.,7,,Bernard Brochand,H,NI,"président, doyen d'âge",http://www.assemblee-nationale.fr/15/cri/2016-2017/20170124.asp#P980116,15,2016-2017,20170124.asp,P980116,223837,Bernard Brochand,Brochand,Bernard,H,1938-06-05,Nice,LR,Les Républicains,06,Alpes-Maritimes,8,2017-06-18,,0,,,
15,XVe législature (2017-2022),20250916_ND15_interventions_hemicycle_rich.tsv.gz,2,1,2017-06-27,15:00,loi,,,30,La séance est ouverte à quinze heures.,9,,,,,,http://www.assemblee-nationale.fr/15/cri/2016-2017/20170124.asp#P980116,15,2016-2017,20170124.asp,P980116,,,,,,,,,,,,,,,,,,
15,XVe législature (2017-2022),20250916_ND15_interventions_hemicycle_rich.tsv.gz,3,1,2017-06-27,15:00,loi,ouverture de la xve législature,ouverture de la xve législature,60,Ouverture de la XVe législature,8,,,,,,http://www.assemblee-nationale.fr/15/cri/2016-2017/20170124.asp#P980119,15,2016-2017,20170124.asp,P980119,,,,,,,,,,,,,,,,,,
15,XVe législature (2017-2022),20250916_ND15_interventions_hemicycle_rich.tsv.gz,4,1,2017-06-27,15:00,loi,ouverture de la xve législature,ouverture de la xve législature,70,Je déclare ouverte la XVe législature de l'Assemblée nationale.,14,,Bernard Brochand,H,NI,"président, doyen d'âge",http://www.assemblee-nationale.fr/15/cri/2016-2017/20170124.asp#P980120,15,2016-2017,20170124.asp,P980120,223837,Bernard Brochand,Brochand,Bernard,H,1938-06-05,Nice,LR,Les Républicains,06,Alpes-Maritimes,8,2017-06-18,,0,,,
15,XVe législature (2017-2022),20250916_ND15_interventions_hemicycle_rich.tsv.gz,5,1,2017-06-27,15:00,loi,constitution du bureau d'âge,constitution du bureau d'âge,80,constitution du bureau d'âge,7,,,,,,http://www.assemblee-nationale.fr/15/cri/2016-2017/20170124.asp#P980122,15,2016-2017,20170124.asp,P980122,,,,,,,,,,,,,,,,,,
15,XVe législature (2017-2022),20250916_ND15_interventions_hemicycle_rich.tsv.gz,6,1,2017-06-27,15:00,loi,constitution du bureau d'âge,constitution du bureau d'âge,90,"Aux termes de l'article 1er du règlement, les six plus jeunes députés présents sont appelés à remplir les fonctions de secrétaires, jusqu'à l'élection du bureau. Ce sont M. Ludovic Pajot, Mme Typhanie Degois, M. Lénaïck Adam, M. Pierre Henriet, M. Robin Reda et Mme Bénédicte Peyrol. Le bureau d'âge de l'Assemblée est ainsi constitué.",72,,Bernard Brochand,H,NI,"président, doyen d'âge",http://www.assemblee-nationale.fr/15/cri/2016-2017/20170124.asp#P980123,15,2016-2017,20170124.asp,P980123,223837,Bernard Brochand,Brochand,Bernard,H,1938-06-05,Nice,LR,Les Républicains,06,Alpes-Maritimes,8,2017-06-18,,0,,,
15,XVe législature (2017-2022),20250916_ND15_interventions_hemicycle_rich.tsv.gz,7,1,2017-06-27,15:00,loi,communication de la liste des députés,communication de la liste des députés,100,communication de la liste des députés,10,,,,,,http://www.assemblee-nationale.fr/15/cri/2016-2017/20170124.asp#P980125,15,2016-2017,20170124.asp,P980125,,,,,,,,,,,,,,,,,,
15,XVe législature (2017-2022),20250916_ND15_interventions_hemicycle_rich.tsv.gz,8,1,2017-06-27,15:00,loi,communication de la liste des députés,communication de la liste des députés,110,"En application de l'article L.O. 179 du code électoral, j'ai reçu de M. le ministre d'État, ministre de l'intérieur, la liste des députés élus.",31,,Bernard Brochand,H,NI,"président, doyen d'âge",http://www.assemblee-nationale.fr/15/cri/2016-2017/20170124.asp#P980126,15,2016-2017,20170124.asp,P980126,223837,Bernard Brochand,Brochand,Bernard,H,1938-06-05,Nice,LR,Les Républicains,06,Alpes-Maritimes,8,2017-06-18,,0,,,
15,XVe législature (2017-2022),20250916_ND15_interventions_hemicycle_rich.tsv.gz,9,1,2017-06-27,15:00,loi,députés nommés membres du gouvernement,députés nommés membres du gouvernement,120,députés nommés membres du gouvernement,10,,,,,,http://www.assemblee-nationale.fr/15/cri/2016-2017/20170124.asp#P980128,15,2016-2017,20170124.asp,P980128,,,,,,,,,,,,,,,,,,
15,XVe législature (2017-2022),20250916_ND15_interventions_hemicycle_rich.tsv.gz,10,1,2017-06-27,15:00,loi,députés nommés membres du gouvernement,députés nommés membres du gouvernement,130,Les décrets relatifs à la composition du Gouvernement ont été publiés au Journal officiel du 20 et du 22 juin 2017. Je rappelle que les députés nommés membres du Gouvernement ne peuvent pas prendre part aux scrutins.,40,,Bernard Brochand,H,NI,"président, doyen d'âge",http://www.assemblee-nationale.fr/15/cri/2016-2017/20170124.asp#P980129,15,2016-2017,20170124.asp,P980129,223837,Bernard Brochand,Brochand,Bernard,H,1938-06-05,Nice,LR,Les Républicains,06,Alpes-Maritimes,8,2017-06-18,,0,,,
15,XVe législature (2017-2022),20250916_ND15_interventions_hemicycle_rich.tsv.gz,11,1,2017-06-27,15:00,loi,décès de deux députés de la xive législature,décès de deux députés de la xive législature,140,décès de deux députés de la xive législature,15,,,,,,http://www.assemblee-nationale.fr/15/cri/2016-2017/20170124.asp#P980131,15,2016-2017,20170124.asp,P980131,,,,,,,,,,,,,,,,,,
