scrutin_id,fecha,fecha_iso,sort,amendement_num,sous_amendement_num,es_sous_amendement,es_suppression,es_redaction_globale,es_identiques,demandeur,article_ref,ley_tipo,ley_titulo_corto,dossier_ref,titulo_scrutin
10,2017-07-11,2017-07-11,rejeté,446,,0,0,0,0,M. Vallaud,premier,projet de loi,d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social,,l'amendement n° 446 de M. Vallaud à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).
100,2017-07-28,2017-07-28,rejeté,223,,0,0,0,0,M. Aviragnet,5,projet de loi,pour la confiance dans la vie publique,,l'amendement n° 223 de M. Aviragnet à l'article 5 du projet de loi organique pour la confiance dans la vie publique (première lecture).
1000,2018-07-04,2018-07-04,rejeté,11,,0,0,0,0,M. Bernalicis,unique,proposition de loi,renforçant la lutte contre les rodéos motorisés,,l'amendement n° 11 de M. Bernalicis à l'article unique de la proposition de loi renforçant la lutte contre les rodéos motorisés (première lecture).
1001,2018-07-04,2018-07-04,rejeté,2,,0,0,0,0,M. Pauget,unique,proposition de loi,renforçant la lutte contre les rodéos motorisés,,l'amendement n° 2 de M. Pauget à l'article unique de la proposition de loi renforçant la lutte contre les rodéos motorisés (première lecture).
1007,2018-07-05,2018-07-05,rejeté,68,,0,0,0,1,Mme Battistel et les amendements identiques suivants,premier,proposition de loi,relative à la mise en oeuvre du transfert de compétences eau et assainissement aux communautés de communes et aux communautés d'agglomération,,l'amendement n° 68 de Mme Battistel et les amendements identiques suivants à l'article premier de la proposition de loi relative à la mise en oeuvre du transfert de compétences eau et assainissement aux communautés de communes et aux communautés d'agglomération (nouvelle lecture).
101,2017-07-28,2017-07-28,rejeté,259,,0,0,0,1,,,projet de loi,pour la confiance dans la vie publique,,l'amendement n° 259 de Mme Untermaier et les amendements identiques suivants après l'article 8 ter du projet de loi organique pour la confiance dans la vie publique (première lecture).
1010,2018-07-11,2018-07-11,rejeté,1246,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1246 de M. Mélenchon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1011,2018-07-11,2018-07-11,rejeté,1248,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1248 de M. Mélenchon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1012,2018-07-11,2018-07-11,rejeté,907,,0,0,0,1,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 907 de M. Pajot et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1013,2018-07-11,2018-07-11,rejeté,1402,,0,0,0,1,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1402 de Mme Untermaier et les amendements identiques suivants avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1014,2018-07-11,2018-07-11,rejeté,1110,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1110 de M. Lachaud avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1015,2018-07-11,2018-07-11,rejeté,2343,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 2343 de M. Dharréville avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1016,2018-07-11,2018-07-11,rejeté,1529,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1529 de M. Latombe avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1017,2018-07-11,2018-07-11,rejeté,2376,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 2376 de M. Serville avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1018,2018-07-11,2018-07-11,rejeté,1115,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1115 de M. Mélenchon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1019,2018-07-11,2018-07-11,rejeté,1116,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1116 de M. Mélenchon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
102,2017-07-28,2017-07-28,rejeté,377,,0,0,0,0,,,projet de loi,pour la confiance dans la vie publique,,l'amendement n° 377 de M. Philippe Vigier après l'article 19 du projet de loi organique pour la confiance dans la vie publique (première lecture).
1020,2018-07-11,2018-07-11,rejeté,1209,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1209 de M. Lachaud avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1021,2018-07-11,2018-07-11,rejeté,2344,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 2344 de M. Jumel avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1022,2018-07-11,2018-07-11,rejeté,1837,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1837 de M. Lachaud avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1023,2018-07-11,2018-07-11,rejeté,1097,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1097 de Mme Obono avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1024,2018-07-11,2018-07-11,rejeté,21,,0,0,0,1,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 21 de M. Le Fur et les amendements identiques suivants avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1025,2018-07-11,2018-07-11,rejeté,260,,0,0,0,1,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 260 de M. Viala et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1026,2018-07-11,2018-07-11,rejeté,1106,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1106 de M. Ratenon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1027,2018-07-12,2018-07-12,rejeté,1404,,0,0,0,1,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1404 de Mme Untermaier et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1028,2018-07-12,2018-07-12,rejeté,2306,,0,0,0,1,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 2306 de M. Jumel et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1029,2018-07-12,2018-07-12,rejeté,2216,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 2216 de M. Coquerel avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1030,2018-07-12,2018-07-12,rejeté,1269,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1269 de M. Mélenchon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1031,2018-07-12,2018-07-12,rejeté,2199,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 2199 de Mme Obono avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1032,2018-07-12,2018-07-12,adopté,199,,0,0,0,0,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 199 de M. Lagarde avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1033,2018-07-12,2018-07-12,rejeté,2209,,0,0,0,1,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 2209 de Mme Autain et les amendements identiques suivants avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1034,2018-07-12,2018-07-12,rejeté,141,,0,0,0,1,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 141 de M. Descoeur et les amendements identiques suivants avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1035,2018-07-12,2018-07-12,adopté,2165,,0,0,0,1,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 2165 de M. Balanant et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
1036,2018-07-13,2018-07-13,rejeté,1812,,0,0,0,1,,,projet de loi,"constitutionnelle pour une démocratie plus représentative, responsable et efficace",,"l'amendement n° 1812 de M. Potier et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture)."
