scrutin_id,titulo_scrutin,fecha,dossier_uid,dossier_titre,match_score,code_loi,titre_loi_promulgation,nor_jo,url_legifrance,nor_jo_rectificatif,url_legifrance_rectificatif,texto_oficial
2,l'ensemble du projet de loi prorogeant l'application de la loi n? 55-385 du 3 avril 1955 relative a l'etat d'urgence (premiere lecture).,2017-07-06,DLR5L15N35829,Prorogation de l'application de la loi sur l'état d'urgence (2),0.630,2017-1154,prorogeant l'application de la loi n\u00b0 55-385 du 3 avril 1955 relative \u00e0 l'\u00e9tat d'urgence,INTX1716366L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=INTX1716366L,,,
49,l'ensemble du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,2017-07-13,DLR5L15N35836,Mesures pour le renforcement du dialogue social,0.820,2017-1340,d'habilitation \u00e0 prendre par ordonnances les mesures pour le renforcement du dialogue social,MTRX1717150L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=MTRX1717150L,,,
103,l'ensemble du projet de loi pour la confiance dans la vie publique (première lecture).,2017-07-28,DLR5L15N35852,Propriété des personnes publiques,0.588,,,,,,,
104,l'ensemble du projet de loi organique pour la confiance dans la vie publique (première lecture).,2017-07-28,DLR5L15N44536,Évaluation de l’impact de la loi organique et de la loi du 15 septembre 2017 pour la confiance dans la vie politique,0.633,,,,,,,
106,l'ensemble du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (texte de la commission mixte paritaire).,2017-08-01,DLR5L15N35836,Mesures pour le renforcement du dialogue social,0.820,2017-1340,d'habilitation \u00e0 prendre par ordonnances les mesures pour le renforcement du dialogue social,MTRX1717150L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=MTRX1717150L,,,
107,l'ensemble du projet de loi pour la confiance dans la vie politique (texte de la commission mixte paritaire).,2017-08-03,DLR5L15N35908,Protection des lanceurs d'alerte auditionnés par une commission parlementaire,0.533,,,,,,,
117,l'ensemble du projet de loi organique pour la confiance dans la vie politique (nouvelle lecture).,2017-08-03,DLR5L15N44536,Évaluation de l’impact de la loi organique et de la loi du 15 septembre 2017 pour la confiance dans la vie politique,0.663,,,,,,,
119,l'ensemble du projet de loi organique pour la confiance dans la vie politique (lecture définitive).,2017-08-09,DLR5L15N44536,Évaluation de l’impact de la loi organique et de la loi du 15 septembre 2017 pour la confiance dans la vie politique,0.663,,,,,,,
138,l'ensemble du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,2017-10-03,DLR5L15N35927,Sécurité intérieure,0.820,,,,,,,
139,l'ensemble du projet de loi mettant fin à la recherche ainsi qu'à l'exploitation des hydrocarbures conventionnels et non conventionnels et portant diverses dispositions relatives à l'environnement (première lecture).,2017-10-10,DLR5L15N42412,"Projet de loi relatif à la différenciation, la décentralisation, la déconcentration et portant diverses mesures de simplification de l'action publique locale",0.534,2022-217,"relative \u00e0 la diff\u00e9renciation, la d\u00e9centralisation, la d\u00e9concentration et portant diverses mesures de simplification de l'action publique locale",TERB2105196L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=TERB2105196L,,,
183,l'ensemble du projet de loi de programmation des finances publiques pour les années 2018 à 2022 (première lecture).,2017-10-24,DLR5L15N35984,Programmation des finances publiques 2018 - 2022,0.724,2018-32,de programmation des finances publiques pour les ann\u00e9es 2018 \u00e0 2022,CPAX1723907L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=CPAX1723907L,CPAX1723907Z,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=CPAX1723907Z,
208,l'ensemble du projet de loi de financement de la sécurité sociale pour 2018 (première lecture).,2017-10-31,DLR5L15N40633,Projet de loi de financement de la sécurité sociale pour 2021,0.984,2020-1576,de financement de la s\u00e9curit\u00e9 sociale pour 2021,ECOX2023815L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ECOX2023815L,,,
