scrutin_id,titulo,fecha,fecha_iso,dossier_ref
2,l'ensemble du projet de loi prorogeant l'application de la loi n? 55-385 du 3 avril 1955 relative a l'etat d'urgence (premiere lecture).,2017-07-06,2017-07-06,
49,l'ensemble du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,2017-07-13,2017-07-13,
103,l'ensemble du projet de loi pour la confiance dans la vie publique (première lecture).,2017-07-28,2017-07-28,
104,l'ensemble du projet de loi organique pour la confiance dans la vie publique (première lecture).,2017-07-28,2017-07-28,
106,l'ensemble du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (texte de la commission mixte paritaire).,2017-08-01,2017-08-01,
107,l'ensemble du projet de loi pour la confiance dans la vie politique (texte de la commission mixte paritaire).,2017-08-03,2017-08-03,
117,l'ensemble du projet de loi organique pour la confiance dans la vie politique (nouvelle lecture).,2017-08-03,2017-08-03,
119,l'ensemble du projet de loi organique pour la confiance dans la vie politique (lecture définitive).,2017-08-09,2017-08-09,
138,l'ensemble du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,2017-10-03,2017-10-03,
139,l'ensemble du projet de loi mettant fin à la recherche ainsi qu'à l'exploitation des hydrocarbures conventionnels et non conventionnels et portant diverses dispositions relatives à l'environnement (première lecture).,2017-10-10,2017-10-10,
183,l'ensemble du projet de loi de programmation des finances publiques pour les années 2018 à 2022 (première lecture).,2017-10-24,2017-10-24,
208,l'ensemble du projet de loi de financement de la sécurité sociale pour 2018 (première lecture).,2017-10-31,2017-10-31,
227,l'ensemble du projet de loi de finances rectificative pour 2017 (première lecture).,2017-11-06,2017-11-06,
246,l'ensemble du projet de loi de finances rectificative pour 2017 (lecture définitive).,2017-11-14,2017-11-14,
272,l'ensemble du projet de loi de finances pour 2018 (première lecture).,2017-11-21,2017-11-21,
314,l'ensemble du projet de loi ratifiant diverses ordonnances prises sur le fondement de la loi n° 2017-1340 du 15 septembre 2017 d'habilitation à prendre les mesures pour le renforcement du dialogue social (première lecture).,2017-11-28,2017-11-28,
321,l'ensemble de la proposition de loi relative à l'exercice des compétences des collectivités territoriales dans le domaine de la gestion des milieux aquatiques et de la prévention des inondations (première lecture).,2017-11-30,2017-11-30,
323,l'ensemble du projet de loi de financement de la sécurité sociale pour 2018 (lecture définitive).,2017-12-04,2017-12-04,
338,l'ensemble de la proposition de loi visant à étendre le dispositif de dons de jours de repos non pris aux aidants familiaux (première lecture).,2017-12-07,2017-12-07,
341,l'ensemble de la proposition de loi permettant une bonne application du régime d'asile européen (première lecture).,2017-12-07,2017-12-07,
345,l'ensemble du projet de loi de finances rectificative pour 2017 (première lecture).,2017-12-12,2017-12-12,
351,l'ensemble du projet de loi relatif à l'orientation et à la réussite des étudiants (première lecture).,2017-12-19,2017-12-19,
365,l'ensemble du projet de loi pour un État au service d'une société de confiance (première lecture).,2018-01-30,2018-01-30,
386,l'ensemble du projet de loi ratifiant diverses ordonnances prises sur le fondement de la loi n° 2017-1340 du 15 septembre 2017 d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (texte de la commission mixte paritaire).,2018-02-06,2018-02-06,
389,l'ensemble du projet de loi relatif à la protection des données personnelles (première lecture).,2018-02-13,2018-02-13,
402,l'ensemble du projet de loi relatif à l'orientation et à la réussite des étudiants (texte de la commission mixte paritaire).,2018-02-15,2018-02-15,
403,l'ensemble du projet de loi ratifiant l'ordonnance n° 2017-48 du 19 janvier 2017 relative à la profession de physicien médical et l'ordonnance n° 2017-50 du 19 janvier 2017 relative à la reconnaissance des qualifications professionnelles dans le domaine de la santé (lecture définitive).,2018-02-15,2018-02-15,
407,l'ensemble du projet de loi relatif à l'élection des représentants au Parlement européen (première lecture).,2018-02-20,2018-02-20,
410,"l'ensemble du projet de loi, adopté par le Sénat, autorisant la ratification de l'accord de transport aérien entre les États-Unis d'Amérique, premièrement, l'Union européenne et ses États membres, deuxièmement, l'Islande, troisièmement, et le Royaume de Norvège, quatrièmement (première lecture).",2018-03-06,2018-03-06,
419,l'ensemble du projet de loi organique relatif à la consultation sur l'accession à la pleine souveraineté de la Nouvelle-Calédonie (première lecture).,2018-03-20,2018-03-20,
