nor,scrutin_id,jorf_text_id,bytes,status,titulo
INTX1716366L,2,JORFTEXT000035168168,2324,ok,l'ensemble du projet de loi prorogeant l'application de la loi n? 55-385 du 3 avril 1955 relative a l'etat d'urgence (premiere lecture).
MTRX1717150L,49,JORFTEXT000035568022,24680,ok,l'ensemble du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).
TERB2105196L,139,JORFTEXT000045197395,490474,ok,l'ensemble du projet de loi mettant fin à la recherche ainsi qu'à l'exploitation des hydrocarbures conventionnels et non conventionnels et portant diverses dispositions relatives à l'environnement (première lecture).
CPAX1723907L,183,JORFTEXT000036526027,173727,ok,l'ensemble du projet de loi de programmation des finances publiques pour les années 2018 à 2022 (première lecture).
ECOX2023815L,208,JORFTEXT000042665307,293539,ok,l'ensemble du projet de loi de financement de la sécurité sociale pour 2018 (première lecture).
ECOX2131239L,227,JORFTEXT000044394364,54059,ok,l'ensemble du projet de loi de finances rectificative pour 2017 (première lecture).
INTX1734902L,341,JORFTEXT000036728690,14083,ok,l'ensemble de la proposition de loi permettant une bonne application du régime d'asile européen (première lecture).
ESRX1730554L,351,JORFTEXT000036683777,37795,ok,l'ensemble du projet de loi relatif à l'orientation et à la réussite des étudiants (première lecture).
CPAX1730519L,365,JORFTEXT000037307624,129226,ok,l'ensemble du projet de loi pour un État au service d'une société de confiance (première lecture).
JUSC1732261L,389,JORFTEXT000037085952,128190,ok,l'ensemble du projet de loi relatif à la protection des données personnelles (première lecture).
MICE2106504L,402,JORFTEXT000044245615,121097,ok,l'ensemble du projet de loi relatif à l'orientation et à la réussite des étudiants (texte de la commission mixte paritaire).
SSAH1703310L,403,JORFTEXT000036644769,769,ok,l'ensemble du projet de loi ratifiant l'ordonnance n° 2017-48 du 19 janvier 2017 relative à la profession de physicien médical et l'ordonnance n° 2017-50 du 19 janvier 2017 relative à la reconnaissance des qualifications professionnelles dans le domaine de la santé (lecture définitive).
INTX1733825L,407,JORFTEXT000037102048,13993,ok,l'ensemble du projet de loi relatif à l'élection des représentants au Parlement européen (première lecture).
INTA2030919L,419,JORFTEXT000042737966,3826,ok,l'ensemble du projet de loi organique relatif à la consultation sur l'accession à la pleine souveraineté de la Nouvelle-Calédonie (première lecture).
MENX1813830L,622,JORFTEXT000043741537,5276,ok,l'ensemble de la proposition de loi en faveur de l'engagement associatif (première lecture).
AGRX1736303L,729,JORFTEXT000037547946,115076,ok,l'ensemble du projet de loi pour l'équilibre des relations commerciales dans le secteur agricole et alimentaire et une alimentation saine et durable (première lecture).
TERL1805474L,928,JORFTEXT000037639478,560147,ok,"l'ensemble du projet de loi portant évolution du logement, de l'aménagement et du numérique (première lecture)."
TRAT1805471L,942,JORFTEXT000037111503,81281,ok,l'ensemble du projet de loi pour un nouveau pacte ferroviaire (texte de la commission mixte paritaire).
JUSX1805103L,950,JORFTEXT000037262111,24148,ok,l'ensemble de la proposition de loi relative à la protection du secret des affaires (texte de la commission mixte paritaire).
MICX1808389L,998,JORFTEXT000037847559,19870,ok,l'ensemble de la proposition de loi relative à la lutte contre la manipulation de l'information (première lecture).
INTX1816692L,1113,JORFTEXT000037284329,8350,ok,l'ensemble de la proposition de loi relative à l'harmonisation de l'utilisation des caméras mobiles par les autorités de sécurité publique (première lecture)
JUSD1805895L,1118,JORFTEXT000037284450,23225,ok,l'ensemble du projet de loi d'orientation et de programmation renforçant la lutte contre les violences sexuelles et sexistes (texte de la commission mixte paritaire).
CPAE1805937L,1171,JORFTEXT000037518803,79498,ok,l'ensemble du projet de loi relatif à la lutte contre la fraude (première lecture).
ECOT1810669L,1209,JORFTEXT000038496102,738768,ok,l'ensemble du projet de loi relatif à la croissance et la transformation des entreprises (première lecture).
SSAX1832793L,1514,JORFTEXT000038215896,7360,ok,"l'ensemble de la proposition de loi visant à renforcer la prise en charge des cancers pédiatriques par la recherche, le soutien aux aidants familiaux, la formation des professionnels et le droit à l'oubli (première lecture)."
AGRX1832937L,1515,JORFTEXT000038489303,3467,ok,l'ensemble de la proposition de loi pour la protection des activités agricoles et des cultures marines en zones littorale et de montagne (première lecture).
SSAX1830131L,1549,JORFTEXT000038496095,3244,ok,l'ensemble de la proposition de loi visant à favoriser la reconnaissance des proches aidants (première lecture).
EAEX1825542L,1556,JORFTEXT000038029184,9231,ok,l'ensemble du projet de loi habilitant le Gouvernement à prendre par ordonnances les mesures de préparation au retrait du Royaume-Uni de l'Union européenne (première lecture).
JUST1806695L,1568,JORFTEXT000038261631,492433,ok,l'ensemble du projet de loi de programmation 2018-2022 et de réforme pour la justice (première lecture).
SSAX1830590L,1572,JORFTEXT000037864065,582,ok,l'ensemble de la proposition de loi visant à sécuriser l'exercice des praticiens diplômés hors Union européenne (première lecture).
MTRX1834337L,1613,JORFTEXT000037851899,10287,ok,l'ensemble du projet de loi portant mesures d'urgence économiques et sociales (première lecture).
TREL1827740L,1639,JORFTEXT000038821234,80295,ok,"l'ensemble du projet de loi portant création de l'Office français de la biodiversité, modifiant les missions des fédérations des chasseurs et renforçant la police de l'environnement (première lecture)."
MENX1828765L,1709,JORFTEXT000038829065,88901,ok,l'ensemble du projet de loi pour une école de la confiance (première lecture).
SSAX1900401L,1814,JORFTEXT000038821260,228464,ok,l'ensemble du projet de loi relatif à l'organisation et à la transformation du système de santé (première lecture).
SSAX1906536L,1819,JORFTEXT000038766567,20517,ok,l'ensemble de la proposition de loi relative au droit de résiliation sans frais de contrats de complémentaire santé (première lecture).
ECOE1902865L,1833,JORFTEXT000038811588,28453,ok,l'ensemble du projet de loi portant création d'une taxe sur les services numériques et modification de la trajectoire de baisse de l'impôt sur les sociétés  (première lecture).
MICX1909891L,1846,JORFTEXT000039295468,7744,ok,l'ensemble de la proposition de loi relative à la création du Centre national de la musique (première lecture).
MICX1902858L,1862,JORFTEXT000038821358,11408,ok,l'ensemble de la proposition de loi tendant à créer un droit voisin au profit des agences de presse et des éditeurs de presse (première lecture).
EAEJ2120639L,1920,JORFTEXT000045215379,679,ok,l'ensemble du projet de loi autorisant l'approbation de l'accord-cadre sur la coopération sanitaire transfrontalière entre le Gouvernement de la République française et le Conseil fédéral suisse et de l'accord-cadre entre le Gouvernement de la République française et le Gouvernement du Grand-Duché de Luxembourg sur la coopération sanitaire transfrontalière (première lecture).
CPAF1832065L,1923,JORFTEXT000038889182,283486,ok,l'ensemble du projet de loi de transformation de la fonction publique (première lecture).
TRET1821032L,1957,JORFTEXT000039666574,550529,ok,l'ensemble du projet de loi d'orientation des mobilités (première lecture).
TERB1901105L,1988,JORFTEXT000038872957,34073,ok,l'ensemble du projet de loi relatif aux compétences de la Collectivité européenne d'Alsace (première lecture).
ICE1906427L,2063,,0,not_found,l'ensemble du projet de loi relatif à la modernisation de la distribution de la presse (première lecture).
INTX1918828L,2078,JORFTEXT000039439987,16847,ok,l'ensemble de la proposition de loi visant à clarifier diverses dispositions du droit électoral (première lecture).
SSAX1917211L,2146,JORFTEXT000043884384,153915,ok,l'ensemble du projet de loi relatif à la bioéthique (première lecture).
TERX1917292L,2329,JORFTEXT000039681877,185383,ok,l'ensemble du projet de loi relatif à l'engagement dans la vie locale et à la proximité de l'action publique (première lecture).
ECOX2102044L,2335,JORFTEXT000044327272,27036,ok,l'ensemble de la proposition de loi visant à réduire le coût du foncier et à augmenter l'offre de logements accessibles aux Français (première lecture).
TREP1902395L,2417,JORFTEXT000041553759,194074,ok,l'ensemble du projet de loi relatif à la lutte contre le gaspillage et à l'économie circulaire (première lecture).
SSAX1929283L,2419,JORFTEXT000041697004,3559,ok,l'ensemble de la proposition de loi visant à améliorer l'accès à la prestation de compensation du handicap (première lecture).
MICX1930820L,2428,JORFTEXT000043604510,2974,ok,l'ensemble de la proposition de loi visant à moderniser les outils et la gouvernance de la Fondation du patrimoine (première lecture).
JUSX2103172L,2429,JORFTEXT000043403203,15407,ok,l'ensemble de la proposition de loi visant à définir et protéger le patrimoine sensoriel des campagnes françaises (première lecture).
INTX1905986L,2446,JORFTEXT000042079128,7080,ok,"l'ensemble de la proposition de loi visant à créer le statut de citoyen sauveteur, lutter contre l'arrêt cardiaque et sensibiliser aux gestes qui sauvent (deuxième lecture)."
MICX2012545L,2447,JORFTEXT000042439054,11096,ok,l'ensemble de la proposition de loi visant à encadrer l'exploitation commerciale de l'image d'enfants de moins de seize ans sur les plateformes en ligne (première lecture).
PRMX2007883L,2734,JORFTEXT000041746313,59322,ok,l'ensemble du projet de loi d'urgence pour faire face à l'épidémie de covid-19 (première lecture)
JUSX2007921L,2735,JORFTEXT000041768067,674,ok,l'ensemble du projet de loi organique d'urgence pour faire face à l'épidémie de covid-19 (première lecture).
PRMX2125288L,2740,JORFTEXT000044036407,1551,ok,l'ensemble du projet de loi prorogeant l'état d'urgence sanitaire et complétant ses dispositions (première lecture).
PRMX2138186L,2741,JORFTEXT000045062855,40943,ok,l'ensemble du projet de loi prorogeant l'état d'urgence sanitaire et complétant ses dispositions (texte de la commission mixte paritaire).
MTRX2003331L,2745,JORFTEXT000041975976,21087,ok,l'ensemble de la proposition de loi visant à améliorer les droits des travailleurs et l'accompagnement des familles après le décès d'un enfant (deuxième lecture).
EAEJ2106103L,2748,JORFTEXT000045197391,743,ok,"l'ensemble du projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République de l'Inde relatif à la prévention de la consommation illicite et à la réduction du trafic illicite de stupéfiants, de substances psychotropes et de précurseurs chimiques, et des délits connexes (première lecture)."
TREK2107676L,2750,JORFTEXT000044176983,160150,ok,"l'ensemble du projet de loi relatif à diverses dispositions liées à la crise sanitaire, à d'autres mesures urgentes ainsi qu'au retrait du Royaume-Uni de l'Union européenne (texte de la commission mixte paritaire)."
INTA2033145L,2753,JORFTEXT000043168354,9338,ok,"l'ensemble du projet de loi portant annulation du second tour du renouvellement général des conseillers municipaux et communautaires, des conseillers de Paris, et des conseillers de la métropole de Lyon de 2020, organisation d'un nouveau scrutin dans les communes concernées, fonctionnement transitoire des établissements publics de coopération intercommunale et report des élections consulaires (première lecture)."
SSAX2011921L,2756,JORFTEXT000042219376,9165,ok,l'ensemble du projet de loi relatif à la dette sociale et à l'autonomie (première lecture).
INTA2030870L,2757,JORFTEXT000042737968,5105,ok,l'ensemble du projet de loi tendant à sécuriser l'organisation du second tour des élections municipales et communautaires de juin 2020 et à reporter les élections consulaires (texte de la commission mixte paritaire).
MENX2021192L,2765,JORFTEXT000044537507,6105,ok,l'ensemble de la proposition de loi créant la fonction de directrice ou de directeur d'école (première lecture).
ECOX1935404L,2941,JORFTEXT000042619877,199471,ok,l'ensemble du projet de loi d'accélération et de simplification de l'action publique (première lecture).
MICX2004812L,2943,JORFTEXT000042738023,4960,ok,l'ensemble du projet de loi relatif à la restitution de biens culturels à la République du Bénin et à la République du Sénégal (première lecture).
PRMX2100243L,3033,JORFTEXT000043134078,2740,ok,l'ensemble du projet de loi autorisant la prorogation de l'état d'urgence sanitaire et portant diverses mesures de gestion de la crise sanitaire (première lecture).
AGRS2021912L,3076,JORFTEXT000042665456,6176,ok,l'ensemble du projet de loi relatif aux conditions de mise sur le marché de certains produits phytopharmaceutiques en cas de danger sanitaire pour les betteraves sucrières (texte de la commission mixte paritaire).
SSAX2029269L,3262,JORFTEXT000044327270,2467,ok,l'ensemble de la proposition de loi visant à améliorer les conditions de présence parentale auprès d'un enfant dont la pathologie nécessite un accompagnement soutenu (première lecture).
SSAX2029985L,3295,JORFTEXT000043421566,40780,ok,l'ensemble de la proposition de loi visant à améliorer le système de santé par la confiance et la simplification (première lecture).
JUSF1928288L,3302,JORFTEXT000043189286,27198,ok,l'ensemble du projet de loi ratifiant l'ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de la justice pénale des mineurs (première lecture).
