storage_key,dossier_uid,scrutin_id,fecha_scrutin,titulo_scrutin,jorf_text_id,title_matched,match_score,bytes,status
DLR5L15N37494,DLR5L15N37494,103,2017-07-28,l'ensemble du projet de loi pour la confiance dans la vie publique (première lecture).,JORFTEXT000035567974,<mark>LOI</mark> n° 2017-1339 du 15 septembre 2017 pour la <mark>confiance</mark> dans la <mark>vie</mark> politique (1),0.92,73066,ok
DLR5L15N44536,DLR5L15N44536,104,2017-07-28,l'ensemble du projet de loi organique pour la confiance dans la vie publique (première lecture).,JORFTEXT000035567974,,0.27,0,low_score_or_no_match
DLR5L15N35908,DLR5L15N35908,107,2017-08-03,l'ensemble du projet de loi pour la confiance dans la vie politique (texte de la commission mixte paritaire).,JORFTEXT000035567974,<mark>LOI</mark> n° 2017-1339 du 15 septembre 2017 pour la <mark>confiance</mark> dans la <mark>vie</mark> <mark>politique</mark> (1),1.18,73066,ok
DLR5L15N35927,DLR5L15N35927,138,2017-10-03,l'ensemble du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,JORFTEXT000035932811,<mark>LOI</mark> n° 2017-1510 du 30 octobre 2017 <mark>renforçant</mark> la <mark>sécurité</mark> <mark>intérieure</mark> et la <mark>lutte</mark> <mark>contre</mark> le <mark>terrorisme</mark> (1),1.18,68534,ok
DLR5L15N40790,DLR5L15N40790,272,2017-11-21,l'ensemble du projet de loi de finances pour 2018 (première lecture).,JORFTEXT000036339197,<mark>LOI</mark> n° 2017-1837 du 30 décembre 2017 de <mark>finances</mark> pour <mark>2018</mark> (1),1.18,459502,ok
DLR5L15N40689,DLR5L15N40689,321,2017-11-30,l'ensemble de la proposition de loi relative à l'exercice des compétences des collectivités territoriales dans le domaine de la gestion des milieux aquatiques et de la prévention des inondations (première lecture).,JORFTEXT000036339387,<mark>LOI</mark> n° 2017-1838 du 30 décembre 2017 <mark>relative</mark> à <mark>l'exercice</mark> des <mark>compétences</mark> des <mark>collectivités</mark> <mark>territoriales</mark> dans le <mark>domaine</mark> de la <mark>gestion</mark> des <mark>milieux</mark> <mark>aquatiques</mark> et de la <mark>prévention</mark> des <mark>inondations</mark> (1),1.18,11239,ok
DLR5L15N38060,DLR5L15N38060,338,2017-12-07,l'ensemble de la proposition de loi visant à étendre le dispositif de dons de jours de repos non pris aux aidants familiaux (première lecture).,,,0.00,0,low_score_or_no_match
DLR5L15N44962,DLR5L15N44962,410,2018-03-06,"l'ensemble du projet de loi, adopté par le Sénat, autorisant la ratification de l'accord de transport aérien entre les États-Unis d'Amérique, premièrement, l'Union européenne et ses États membres, deuxièmement, l'Islande, troisièmement, et le Royaume de Norvège, quatrièmement (première lecture).",JORFTEXT000036711215,"<mark>LOI</mark> n° 2018-181 du 15 mars 2018 <mark>autorisant</mark> la <mark>ratification</mark> de <mark>l'accord</mark> de <mark>transport</mark> <mark>aérien</mark> <mark>entre</mark> les <mark>Etats</mark>-<mark>Unis</mark> <mark>d'Amérique</mark>, <mark>premièrement</mark>, <mark>l'Union</mark> <mark>européenne</mark> et ses <mark>Etats</mark> <mark>membres</mark>, <mark>deuxièmement</mark>, <mark>l'Islande</mark>, <mark>troisièmement</mark>, et le <mark>Royaume</mark> de <mark>Norvège</mark>, <mark>quatrièmement</mark> (1)",1.19,995,ok
DLR5L15N36261,DLR5L15N36261,434,2018-03-28,"l'ensemble de la proposition de loi portant transposition de la directive du Parlement européen et du Conseil sur la protection des savoir-faire et des informations commerciales non divulgués contre l'obtention, l'utlisation et la divulgation illicites (première lecture).",JORFTEXT000043210210,Ordonnance n° 2021-236 du 3 mars 2021 portant <mark>transposition</mark> de diverses dispositions de la directive (UE) 2018/2001 du Parlement européen et du Conseil du 11 décembre 2018 relative à la promotion de l'utilisation de l'énergie produite à partir de sources renouvelables et de la directive (UE) 2019/944 du Parlement européen et du Conseil du 5 juin 2019 concernant des règles communes pour le marché intérieur de l'électricité,0.40,0,rejected_low_score
DLR5L15N37409,DLR5L15N37409,477,2018-04-17,l'ensemble du projet de loi pour un nouveau pacte ferroviaire (première lecture).,JORFTEXT000037111503,<mark>LOI</mark> n° 2018-515 du 27 juin 2018 pour un <mark>nouveau</mark> <mark>pacte</mark> <mark>ferroviaire</mark> (1),1.16,81281,ok
