country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,candidatename,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm
31,France,10,10,11/06/2017,201706,31110,Europe Ecology - The Greens,EÃLV,10,NA,335,5,2017,0.758,0.712,4.297,0,NA,1,577,1,121,2025-1,220,1.364,0,0,0,0.909,0.909,0,2.273,1.818,0,0.455,0.909,4.091,0,0.909,0,0,1.818,0,3.636,0.455,0.455,5,0.455,0,0.455,0,0.455,0,0,5.455,1.364,0,0,0,11.818,15,2.273,6.818,5.909,0,2.727,0,3.182,0.455,0,2.273,2.727,5.909,2.273,0,3.636,0,0.455,0,0,1.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.455,0.455,2.727,0,0,1.364,3.636,0,0,0,0,0,0,11.818,3.182,0,0,0.455,2.727,1.364,5,0.909,2.273,0,0,0,0,0,0.455,0,-8.636,6.818,0.455,12.727,0.909,2025a,DX5A72
31,France,10,10,11/06/2017,201706,31220,French Communist Party,PCF,20,NA,335,5,2017,0.758,0.712,2.717,0,NA,10,577,1,121,2025-1,36,0,0,0,0,0,0,0,0,0,0,0,2.778,5.556,0,0,0,0,0,0,16.667,0,0,2.778,0,0,0,0,0,2.778,0,5.556,8.333,0,0,0,8.333,0,0,8.333,0,0,0,0,2.778,0,0,0,2.778,2.778,0,0,27.778,0,2.778,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.778,2.778,0,0,2.778,13.889,2.778,0,0,0,0,0,8.333,2.778,0,0,0,2.778,0,2.778,0,0,0,0,0,0,0,2.778,0,-16.667,11.111,0,8.333,0,2025a,MVTMAS
31,France,10,10,11/06/2017,201706,31230,Left Radical Party,PRG,20,NA,335,5,2017,0.758,0.712,0.469,0,NA,3,577,1,121,2025-1,537,3.911,0,0,0.186,2.98,0.372,0.372,0.559,5.028,0,0,2.607,4.655,0,1.117,1.676,0,7.263,0.372,1.304,0,5.214,6.518,0,0,0.559,0,1.304,1.304,0.372,4.655,0.559,0,2.421,0,2.048,2.98,1.862,4.842,4.842,0.186,6.331,0,1.117,0.186,0,4.469,4.097,0.559,0.372,0,5.587,0,3.538,0.745,0,0.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186,0,1.304,1.304,4.283,0,0.372,0,0.931,0.372,0,0,0,0,0,2.048,1.117,0,0,0.186,4.097,3.911,0.559,0,0.372,0,0,0,0,0,3.538,0,-10.056,7.076,2.421,9.683,0.745,2025a,XI6ZXD
31,France,10,10,11/06/2017,201706,31240,Indomitable France,,20,NA,335,5,2017,0.758,0.712,11.025,0,NA,17,577,1,121,2025-1,1026,3.899,0,0,0.78,0.39,0.487,2.242,3.996,0.097,1.17,2.242,2.729,3.509,0,2.047,0.487,0,2.047,1.17,2.339,0,0,6.238,0,0,2.534,0,0.195,1.267,0,2.437,2.047,2.047,0,0,5.166,8.967,1.559,7.018,3.899,0,5.361,0,3.801,0.39,0,1.267,2.339,1.072,0.195,0.39,9.552,0,0.682,0.39,0.682,0.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0,1.462,1.267,2.144,0,0.195,1.17,1.949,0.39,0,0,0,0,0,5.166,3.801,0,0,0.39,2.339,3.411,1.072,0,0.195,0,0,0.39,0,0,0.682,0.292,-30.019,8.285,0,10.916,2.729,2025a,W4J3Y1
31,France,10,10,11/06/2017,201706,31320,Socialist Party,PS,30,NA,335,5,2017,0.758,0.712,7.441,0,NA,30,577,1,121,2025-1,76,1.316,0,0,0,0,0,0,0,5.263,0,0,0,3.947,0,1.316,0,0,1.316,2.632,0,0,0,0,0,0,1.316,0,0,0,0,5.263,1.316,0,0,0,7.895,3.947,3.947,9.211,17.105,0,7.895,0,0,0,0,1.316,11.842,0,0,0,9.211,0,1.316,0,0,2.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1.316,0,1.316,1.316,0,0,0,0,0,0,0,7.895,0,0,0,0,11.842,1.316,0,0,0,0,0,0,0,0,1.316,0,-28.947,1.316,0,26.316,0,2025a,8Y3RFH
31,France,10,10,11/06/2017,201706,31425,Republic Onwards!,LREM,40,NA,335,5,2017,0.758,0.712,28.212,0,NA,308,577,1,121,2025-1,362,0,0,0,0,1.381,0,0,0,4.696,0,0,1.105,4.144,0,0.829,0.276,0.552,9.116,2.762,0.276,1.934,3.039,1.381,0.552,1.105,1.105,0,0,0,0.276,4.696,0,0,2.762,0,2.486,3.039,1.105,11.878,5.249,0.829,6.906,0,4.972,0.276,0,0.276,6.354,2.21,1.934,0.829,5.525,0,3.315,0.552,0,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.829,0.276,1.934,0,1.381,0.829,0.276,0,0,0,0,0,0,2.486,4.144,0.829,0,0.276,6.354,0,1.657,0.552,1.934,0,0,0,0.829,0,3.315,0,0,1.934,4.696,17.127,0,2025a,ZXD4H9
31,France,10,10,11/06/2017,201706,31430,Union of Democrats and Independents,UDI,40,NA,335,5,2017,0.758,0.712,3.034,0,NA,18,577,2,121,2025-1,257,0,0,0,0,1.556,0,0,0,2.335,1.167,0.389,0.389,2.335,0.778,0,0.778,0,5.447,0.389,7.393,2.335,3.502,0.389,0,0,1.946,0,0,0,1.167,0.778,0,0,2.724,0,0.389,4.28,0.778,7.393,6.226,1.167,4.28,0,7.393,0.389,0.778,0.778,8.56,0.778,0,0.778,8.56,1.167,3.502,3.113,0.778,3.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.389,1.946,0,0,0.389,5.447,1.946,0,0,0,0,0,0.389,3.113,4.28,0,0.389,8.56,0,0.778,0,0,0,0,0.778,0,0,3.502,0,13.619,0.389,5.058,13.619,0,2025a,OCTE9L
31,France,10,10,11/06/2017,201706,31624,Democratic Movement,MoDem,60,NA,335,5,2017,0.758,0.712,4.115,0,NA,42,577,1,121,2025-1,452,1.327,0,0,0.221,2.212,0,0.221,2.212,3.982,0,0,0.442,5.088,0,0,1.106,0,5.973,2.434,2.434,0.221,1.991,5.752,1.106,0.664,0.664,0,0.442,0.442,0.664,2.434,0.442,0,1.549,0,3.54,3.319,1.549,7.08,6.416,0,12.168,0,4.646,0,0,0.664,3.097,3.761,2.212,0,3.982,0.442,1.77,1.106,0,0.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221,0,0.221,0.221,4.204,0,0.664,0.221,1.549,0,0.885,0,0,0,0,3.54,4.646,0,0,0,3.097,1.327,3.761,0,1.991,0.221,0,0,0,0,1.77,0,-17.92,7.301,1.77,13.496,0.221,2025a,U2CBSQ
31,France,10,10,11/06/2017,201706,31626,The Republicans,,60,NA,335,5,2017,0.758,0.712,15.774,0,NA,112,577,2,121,2025-1,257,0,0,0,0,1.556,0,0,0,2.335,1.167,0.389,0.389,2.335,0.778,0,0.778,0,5.447,0.389,7.393,2.335,3.502,0.389,0,0,1.946,0,0,0,1.167,0.778,0,0,2.724,0,0.389,4.28,0.778,7.393,6.226,1.167,4.28,0,7.393,0.389,0.778,0.778,8.56,0.778,0,0.778,8.56,1.167,3.502,3.113,0.778,3.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.389,1.946,0,0,0.389,5.447,1.946,0,0,0,0,0,0.389,3.113,4.28,0,0.389,8.56,0,0.778,0,0,0,0,0.778,0,0,3.502,0,13.619,0.389,5.058,13.619,0,2025a,1XSVUV
31,France,10,10,11/06/2017,201706,31720,National Front,FN,70,NA,335,5,2017,0.758,0.712,13.2,0,NA,8,577,1,121,2025-1,239,0,0,0,0,4.603,0,0,0.837,0,0.837,0.837,1.255,1.674,0.418,0,0.837,0,4.184,0,0,0.837,1.674,3.766,0.837,0,5.439,0,0.418,1.255,0,3.347,1.674,1.255,0.837,0,2.51,2.092,3.766,5.858,6.276,0,4.184,0,9.205,0,2.092,0.418,12.971,0,0,3.347,6.276,0,2.092,1.674,0,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.418,0.837,0.837,0,0,0.837,0,0,0,0,0,0,0,2.51,5.439,3.766,0,0,12.971,0,0,0,0,0,0,2.51,0.837,0,2.092,0,1.674,6.276,1.674,12.134,0,2025a,BHIFOG
