party,partyname,partyabbrev,edate,rile,planeco,markeco,welfare,intpeace
31110,Europe Ecology - The Greens,EÃLV,11/06/2017,-8.636,6.818,0.455,12.727,0.909
31220,French Communist Party,PCF,11/06/2017,-16.667,11.111,0,8.333,0
31230,Left Radical Party,PRG,11/06/2017,-10.056,7.076,2.421,9.683,0.745
31240,Indomitable France,,11/06/2017,-30.019,8.285,0,10.916,2.729
31320,Socialist Party,PS,11/06/2017,-28.947,1.316,0,26.316,0
31425,Republic Onwards!,LREM,11/06/2017,0,1.934,4.696,17.127,0
31430,Union of Democrats and Independents,UDI,11/06/2017,13.619,0.389,5.058,13.619,0
31624,Democratic Movement,MoDem,11/06/2017,-17.92,7.301,1.77,13.496,0.221
31626,The Republicans,,11/06/2017,13.619,0.389,5.058,13.619,0
31720,National Front,FN,11/06/2017,1.674,6.276,1.674,12.134,0
