party,External Relations,Freedom & Democracy,Political System,Economy,Welfare & QoL,Fabric of Society,Social Groups
EDS,77.8,37.0,19.8,59.9,42.6,21.4,30.8
FN,,54.2,71.1,48.5,87.4,72.4,76.2
GDR-PCF,100.0,91.4,84.1,84.5,88.3,69.5,83.3
LFI,83.3,90.6,81.7,77.3,84.7,67.8,82.5
LR,69.1,51.8,71.0,65.7,67.1,66.2,63.0
LREM,31.3,11.6,16.7,19.6,17.3,12.7,16.7
LT,100.0,65.8,68.3,81.0,76.0,65.6,61.3
MoDem,29.3,19.6,24.6,27.9,23.8,25.8,22.3
NI,,79.4,33.3,88.9,91.7,74.0,68.8
PS,100.0,86.9,78.6,83.7,86.3,60.8,82.1
UDI-Agir,72.2,45.0,45.1,50.9,50.9,59.6,57.0
