party,External Relations,Freedom & Democracy,Political System,Economy,Welfare & QoL,Fabric of Society,Social Groups
EDS,41.5,0.7,-16.5,23.6,6.3,-14.9,-5.5
FN,,-19.2,-2.3,-24.9,14.0,-1.0,2.8
GDR-PCF,13.0,4.4,-2.9,-2.5,1.3,-17.5,-3.7
LFI,-0.4,6.9,-2.0,-6.4,1.0,-15.9,-1.2
LR,-1.8,-19.1,0.1,-5.2,-3.8,-4.7,-7.9
LREM,15.6,-4.1,1.0,3.9,1.6,-3.0,1.0
LT,28.6,-5.6,-3.1,9.6,4.6,-5.8,-10.1
MoDem,6.9,-2.8,2.2,5.5,1.4,3.4,-0.1
NI,,-3.6,-49.7,5.9,8.7,-9.0,-14.2
PS,17.3,4.2,-4.1,1.0,3.6,-21.9,-0.6
UDI-Agir,20.3,-6.9,-6.8,-1.0,-1.0,7.7,5.1
