party,stance,n_sentences,External Relations,Freedom & Democracy,Political System,Economy,Welfare & QoL,Fabric of Society,Social Groups
EDS,opposed,275,0.4,18.2,15.3,7.3,30.9,14.9,13.1
EDS,supported,155,1.3,16.1,3.2,21.3,41.9,5.8,10.3
FN,opposed,87,0.0,40.2,12.6,6.9,16.1,18.4,5.7
FN,supported,232,0.0,17.7,11.6,2.2,43.5,18.1,6.9
GDR-PCF,opposed,133,0.0,9.0,11.3,12.0,37.6,16.5,13.5
GDR-PCF,supported,818,0.6,14.9,9.9,10.9,46.5,6.1,11.1
LFI,opposed,201,0.5,8.0,10.0,13.9,37.8,20.4,9.5
LFI,supported,952,0.5,16.5,9.3,10.1,44.9,9.1,9.6
LR,opposed,743,0.5,15.3,7.5,14.9,40.2,10.4,11.0
LR,supported,1410,0.5,8.5,10.9,15.6,43.8,11.1,9.6
LREM,opposed,2201,0.5,10.9,10.2,15.9,42.7,10.3,9.5
LREM,supported,374,1.3,6.7,10.4,19.5,44.9,7.2,9.9
LT,opposed,129,0.0,21.7,13.2,4.7,38.8,9.3,12.4
LT,supported,383,0.3,19.6,7.6,11.5,46.0,8.1,7.0
MoDem,opposed,1785,0.6,11.7,9.1,15.0,43.8,9.4,10.5
MoDem,supported,479,0.8,7.9,10.0,17.7,43.2,10.9,9.4
NI,opposed,8,0.0,37.5,25.0,0.0,0.0,25.0,12.5
NI,supported,63,0.0,17.5,1.6,4.8,61.9,9.5,4.8
PS,opposed,272,0.0,8.5,12.9,12.5,37.1,18.8,10.3
PS,supported,1284,0.5,11.8,9.6,13.6,48.6,5.9,10.0
UDI-Agir,opposed,562,0.4,13.5,10.0,11.9,46.6,7.7,10.0
UDI-Agir,supported,570,0.7,10.2,8.1,12.3,46.0,9.6,13.2
