party,channel,pearson,spearman,pearson_recentrado,small_manifesto,ci_low,ci_high
LFI,manifiesto,0.26,0.31,0.15,False,-0.7,0.98
LR,manifiesto,0.4,0.26,0.65,False,-0.91,0.99
LREM,manifiesto,0.34,0.38,0.45,False,-0.7,0.99
MoDem,manifiesto,0.12,0.2,-0.1,False,-0.73,1.0
PCF,manifiesto,-0.02,-0.14,0.06,True,-0.97,0.86
PS,manifiesto,0.21,0.03,0.17,True,-0.95,0.96
EDS,tweets,0.5,0.77,0.49,False,,
LFI,tweets,0.37,0.6,0.47,False,,
LR,tweets,0.67,0.31,0.72,False,,
LREM,tweets,0.49,0.67,-0.24,False,,
LT,tweets,0.13,0.26,0.39,False,,
MoDem,tweets,0.08,0.26,0.15,False,,
NI,tweets,-0.08,0.03,0.25,False,,
PCF,tweets,0.72,0.14,0.52,False,,
PS,tweets,0.53,0.66,0.34,False,,
UDI-Agir,tweets,0.03,0.12,0.23,False,,
EDS,hemiciclo,0.73,0.94,0.69,False,,
LFI,hemiciclo,0.45,0.66,0.61,False,,
LR,hemiciclo,0.29,0.2,0.52,False,,
LREM,hemiciclo,0.04,-0.03,0.61,False,,
LT,hemiciclo,0.78,0.43,0.44,False,,
MoDem,hemiciclo,-0.16,-0.37,0.3,False,,
NI,hemiciclo,-0.18,-0.09,0.1,False,,
PCF,hemiciclo,0.6,0.26,0.28,False,,
PS,hemiciclo,0.18,0.26,0.26,False,,
UDI-Agir,hemiciclo,0.64,0.61,0.41,False,,
