party,domain,n_canales,decl_pos,decl_neg,s_rev,rev_signo
EDS,Economy,2,1,0,23.6,+
EDS,Fabric of Society,2,0,2,-14.9,-
EDS,Freedom & Democracy,2,1,0,0.7,0
EDS,Political System,2,0,2,-16.5,-
EDS,Social Groups,2,0,1,-5.5,-
EDS,Welfare & QoL,2,2,0,6.3,+
FN,Economy,3,1,2,-24.9,-
FN,Fabric of Society,3,3,0,-1.0,0
FN,Freedom & Democracy,3,1,1,-19.2,-
FN,Political System,3,1,2,-2.3,-
FN,Social Groups,3,1,1,2.8,+
FN,Welfare & QoL,3,0,3,14.0,+
LFI,Economy,3,1,2,-6.4,-
LFI,Fabric of Society,3,0,2,-15.9,-
LFI,Freedom & Democracy,3,1,0,6.9,+
LFI,Political System,3,1,1,-2.0,-
LFI,Social Groups,3,0,1,-1.2,-
LFI,Welfare & QoL,3,1,1,1.0,0
LR,Economy,3,1,1,-5.2,-
LR,Fabric of Society,3,2,0,-4.7,-
LR,Freedom & Democracy,3,0,2,-19.1,-
LR,Political System,3,2,0,0.1,0
LR,Social Groups,3,1,0,-7.9,-
LR,Welfare & QoL,3,0,2,-3.8,-
LREM,Economy,3,1,0,3.9,+
LREM,Fabric of Society,3,0,0,-3.0,-
LREM,Freedom & Democracy,3,0,2,-4.1,-
LREM,Political System,3,2,1,1.0,0
LREM,Social Groups,3,0,1,1.0,0
LREM,Welfare & QoL,3,1,1,1.6,+
LT,Economy,2,1,0,9.6,+
LT,Fabric of Society,2,1,1,-5.8,-
LT,Freedom & Democracy,2,0,2,-5.6,-
LT,Political System,2,0,1,-3.1,-
LT,Social Groups,2,0,0,-10.1,-
LT,Welfare & QoL,2,2,0,4.6,+
MoDem,Economy,3,1,1,5.5,+
MoDem,Fabric of Society,3,0,3,3.4,+
MoDem,Freedom & Democracy,3,2,0,-2.8,-
MoDem,Political System,3,1,2,2.2,+
MoDem,Social Groups,3,0,2,-0.1,0
MoDem,Welfare & QoL,3,1,2,1.4,+
NI,Economy,2,0,1,5.9,+
NI,Fabric of Society,2,1,0,-9.0,-
NI,Freedom & Democracy,2,0,1,-3.6,-
NI,Political System,2,0,2,-49.7,-
NI,Social Groups,2,1,1,-14.2,-
NI,Welfare & QoL,2,1,0,8.7,+
PCF,Economy,3,0,1,-2.5,-
PCF,Fabric of Society,3,0,3,-17.5,-
PCF,Freedom & Democracy,3,1,0,4.4,+
PCF,Political System,3,1,0,-2.9,-
PCF,Social Groups,3,3,0,-3.7,-
PCF,Welfare & QoL,3,2,1,1.3,+
PS,Economy,3,0,2,1.0,0
PS,Fabric of Society,3,0,3,-21.9,-
PS,Freedom & Democracy,3,0,1,4.2,+
PS,Political System,3,1,2,-4.1,-
PS,Social Groups,3,0,0,-0.6,0
PS,Welfare & QoL,3,2,1,3.6,+
UDI-Agir,Economy,2,1,0,-1.0,0
UDI-Agir,Fabric of Society,2,1,0,7.7,+
UDI-Agir,Freedom & Democracy,2,0,1,-6.9,-
UDI-Agir,Political System,2,0,1,-6.8,-
UDI-Agir,Social Groups,2,0,1,5.1,+
UDI-Agir,Welfare & QoL,2,1,1,-1.0,0
