party,category,direction,party_pct,corpus_pct,diff_pp
EDS,501 - Environmental Protection: Positive,over,8.44,3.79,4.65
EDS,504 - Welfare State Expansion,over,17.04,13.19,3.84
EDS,403 - Market Regulation,over,6.6,3.47,3.13
EDS,201 - Freedom and Human Rights,over,5.72,3.29,2.43
EDS,503 - Equality: Positive,over,5.4,3.81,1.59
EDS,304 - Political Corruption,over,2.06,1.09,0.98
EDS,305 - Political Authority,under,15.31,23.4,-8.09
EDS,301 - Federalism,under,0.75,2.93,-2.18
EDS,202 - Democracy,under,6.72,8.49,-1.78
EDS,506 - Education Expansion,under,1.41,2.85,-1.45
EDS,605 - Law and Order: Positive,under,3.52,4.74,-1.22
EDS,601 - National Way of Life: Positive,under,0.23,1.03,-0.81
FN,605 - Law and Order: Positive,over,12.52,4.74,7.78
FN,601 - National Way of Life: Positive,over,4.58,1.03,3.55
FN,201 - Freedom and Human Rights,over,6.11,3.29,2.82
FN,604 - Traditional Morality: Negative,over,5.16,2.82,2.35
FN,608 - Multiculturalism: Negative,over,0.88,0.25,0.63
FN,603 - Traditional Morality: Positive,over,0.95,0.34,0.61
FN,305 - Political Authority,under,17.46,23.4,-5.95
FN,504 - Welfare State Expansion,under,10.3,13.19,-2.9
FN,501 - Environmental Protection: Positive,under,1.65,3.79,-2.14
FN,503 - Equality: Positive,under,2.43,3.81,-1.38
FN,303 - Governmental and Administrative Efficiency,under,3.31,4.66,-1.36
FN,411 - Technology and Infrastructure,under,2.34,3.65,-1.31
GDR-PCF,701 - Labour Groups: Positive,over,5.46,2.38,3.08
GDR-PCF,504 - Welfare State Expansion,over,15.38,13.19,2.19
GDR-PCF,503 - Equality: Positive,over,5.6,3.81,1.8
GDR-PCF,305 - Political Authority,over,23.97,23.4,0.56
GDR-PCF,403 - Market Regulation,over,3.98,3.47,0.51
GDR-PCF,413 - Nationalisation,over,0.62,0.24,0.37
GDR-PCF,604 - Traditional Morality: Negative,under,0.86,2.82,-1.96
GDR-PCF,501 - Environmental Protection: Positive,under,2.06,3.79,-1.73
GDR-PCF,605 - Law and Order: Positive,under,3.38,4.74,-1.36
GDR-PCF,303 - Governmental and Administrative Efficiency,under,3.35,4.66,-1.31
GDR-PCF,201 - Freedom and Human Rights,under,2.42,3.29,-0.87
GDR-PCF,402 - Incentives,under,0.78,1.54,-0.76
LFI,305 - Political Authority,over,26.73,23.4,3.32
LFI,503 - Equality: Positive,over,5.61,3.81,1.81
LFI,701 - Labour Groups: Positive,over,4.17,2.38,1.79
LFI,201 - Freedom and Human Rights,over,4.6,3.29,1.31
LFI,605 - Law and Order: Positive,over,5.76,4.74,1.02
LFI,506 - Education Expansion,over,3.39,2.85,0.54
LFI,301 - Federalism,under,0.96,2.93,-1.97
LFI,303 - Governmental and Administrative Efficiency,under,2.98,4.66,-1.68
LFI,504 - Welfare State Expansion,under,11.68,13.19,-1.52
LFI,411 - Technology and Infrastructure,under,2.38,3.65,-1.28
LFI,402 - Incentives,under,0.41,1.54,-1.13
LFI,604 - Traditional Morality: Negative,under,1.77,2.82,-1.05
LR,305 - Political Authority,over,31.2,23.4,7.8
LR,303 - Governmental and Administrative Efficiency,over,6.17,4.66,1.51
LR,202 - Democracy,over,9.33,8.49,0.84
LR,604 - Traditional Morality: Negative,over,3.5,2.82,0.68
LR,703 - Agriculture and Farmers: Positive,over,3.07,2.48,0.59
LR,414 - Economic Orthodoxy,over,0.94,0.52,0.42
LR,504 - Welfare State Expansion,under,9.76,13.19,-3.44
LR,201 - Freedom and Human Rights,under,1.46,3.29,-1.83
LR,501 - Environmental Protection: Positive,under,2.42,3.79,-1.38
LR,503 - Equality: Positive,under,2.55,3.81,-1.26
LR,605 - Law and Order: Positive,under,4.0,4.74,-0.75
LR,701 - Labour Groups: Positive,under,1.64,2.38,-0.74
LREM,303 - Governmental and Administrative Efficiency,over,7.77,4.66,3.1
LREM,305 - Political Authority,over,25.88,23.4,2.48
LREM,204 - Constitutionalism: Negative,over,0.97,0.45,0.52
LREM,604 - Traditional Morality: Negative,over,3.31,2.82,0.49
LREM,502 - Culture: Positive,over,1.98,1.54,0.44
LREM,202 - Democracy,over,8.86,8.49,0.37
LREM,504 - Welfare State Expansion,under,10.78,13.19,-2.42
LREM,201 - Freedom and Human Rights,under,2.15,3.29,-1.14
LREM,503 - Equality: Positive,under,2.94,3.81,-0.87
LREM,301 - Federalism,under,2.26,2.93,-0.67
LREM,605 - Law and Order: Positive,under,4.08,4.74,-0.66
LREM,304 - Political Corruption,under,0.56,1.09,-0.53
LT,501 - Environmental Protection: Positive,over,8.99,3.79,5.2
LT,301 - Federalism,over,7.92,2.93,4.99
LT,416 - Anti-Growth Economy: Positive,over,2.37,0.91,1.47
LT,411 - Technology and Infrastructure,over,5.11,3.65,1.45
LT,402 - Incentives,over,2.6,1.54,1.06
LT,703 - Agriculture and Farmers: Positive,over,3.18,2.48,0.7
LT,305 - Political Authority,under,16.53,23.4,-6.88
