party,101 - Foreign Special Relationships: Positive,102 - Foreign Special Relationships: Negative,103 - Anti-Imperialism,104 - Military: Positive,105 - Military: Negative,106 - Peace,107 - Internationalism: Positive,108 - European Community/Union: Positive,109 - Internationalism: Negative,110 - European Community/Union: Negative,201 - Freedom and Human Rights,202 - Democracy,203 - Constitutionalism: Positive,204 - Constitutionalism: Negative,301 - Federalism,302 - Centralisation,303 - Governmental and Administrative Efficiency,304 - Political Corruption,305 - Political Authority,401 - Free Market Economy,402 - Incentives,403 - Market Regulation,404 - Economic Planning,405 - Corporatism/ Mixed Economy,406 - Protectionism: Positive,407 - Protectionism: Negative,408 - Economic Goals,409 - Keynesian Demand Management,410 - Economic Growth: Positive,411 - Technology and Infrastructure,412 - Controlled Economy,413 - Nationalisation,414 - Economic Orthodoxy,415 - Marxist Analysis: Positive,416 - Anti-Growth Economy: Positive,501 - Environmental Protection: Positive,502 - Culture: Positive,503 - Equality: Positive,504 - Welfare State Expansion,505 - Welfare State Limitation,506 - Education Expansion,601 - National Way of Life: Positive,602 - National Way of Life: Negative,603 - Traditional Morality: Positive,604 - Traditional Morality: Negative,605 - Law and Order: Positive,606 - Civic Mindedness: Positive,607 - Multiculturalism: Positive,608 - Multiculturalism: Negative,701 - Labour Groups: Positive,702 - Labour Groups: Negative,703 - Agriculture and Farmers: Positive,704 - Middle Class and Professional Groups,705 - Underprivileged Minority Groups,706 - Non-economic Demographic Groups
EDS,0.045,0.0,0.0,0.091,0.068,0.0,0.703,0.839,0.0,0.0,5.717,6.715,0.476,0.181,0.749,0.0,4.515,2.064,15.313,0.045,1.588,6.602,0.181,0.454,0.363,0.0,0.0,0.023,0.136,3.244,0.0,0.0,0.408,0.0,1.77,8.439,1.338,5.399,17.037,0.0,1.407,0.227,0.091,0.091,2.881,3.516,0.363,0.045,0.204,2.722,0.0,2.314,0.975,0.295,0.363
FN,0.052,0.069,0.034,0.568,0.207,0.034,0.465,0.826,0.017,0.465,6.112,8.833,0.362,0.086,2.101,0.0,3.306,1.377,17.459,0.086,1.808,2.428,0.034,0.0,0.258,0.017,0.0,0.0,0.069,2.342,0.0,0.293,0.258,0.0,0.189,1.653,1.911,2.428,10.296,0.086,2.858,4.58,0.258,0.947,5.165,12.517,0.413,0.086,0.878,1.567,0.0,2.531,0.62,0.482,0.568
GDR-PCF,0.036,0.022,0.045,0.378,0.301,0.184,1.147,0.778,0.004,0.135,2.415,8.581,0.652,0.175,2.977,0.054,3.351,1.088,23.968,0.067,0.778,3.98,0.045,0.202,0.423,0.009,0.009,0.009,0.166,3.729,0.067,0.616,0.288,0.094,0.756,2.064,1.367,5.604,15.382,0.0,2.825,0.522,0.085,0.243,0.855,3.378,0.675,0.094,0.108,5.46,0.004,2.546,0.738,0.189,0.328
LFI,0.021,0.009,0.015,0.466,0.379,0.143,0.836,0.83,0.015,0.203,4.6,7.899,0.531,0.203,0.955,0.039,2.982,1.522,26.726,0.06,0.412,3.728,0.054,0.072,0.466,0.036,0.009,0.018,0.075,2.376,0.113,0.603,0.307,0.072,0.943,3.818,1.23,5.612,11.678,0.0,3.394,0.833,0.143,0.278,1.773,5.761,0.442,0.093,0.26,4.17,0.003,1.687,0.651,0.17,0.287
LR,0.03,0.003,0.004,0.436,0.04,0.041,0.474,0.683,0.001,0.045,1.463,9.33,0.628,0.783,3.099,0.02,6.169,0.956,31.201,0.096,1.85,2.951,0.081,0.075,0.234,0.013,0.003,0.026,0.207,3.334,0.043,0.119,0.944,0.006,0.516,2.417,1.518,2.546,9.756,0.01,2.272,0.919,0.055,0.504,3.496,3.995,0.407,0.072,0.316,1.644,0.001,3.067,0.67,0.168,0.263
LREM,0.061,0.007,0.002,0.639,0.088,0.05,0.828,1.196,0.003,0.019,2.147,8.859,0.692,0.972,2.26,0.023,7.767,0.56,25.883,0.096,1.739,3.538,0.122,0.19,0.136,0.028,0.003,0.033,0.206,3.717,0.024,0.081,0.665,0.004,0.76,3.563,1.978,2.937,10.777,0.0,2.913,0.522,0.074,0.225,3.306,4.084,0.524,0.071,0.116,2.019,0.003,2.41,0.592,0.192,0.298
LT,0.053,0.066,0.0,0.265,0.08,0.08,0.756,1.154,0.0,0.013,3.29,5.969,0.305,0.424,7.919,0.013,3.741,0.822,16.527,0.027,2.6,3.767,0.239,0.093,0.239,0.013,0.0,0.04,0.146,5.107,0.013,0.239,0.464,0.027,2.374,8.993,1.698,3.369,13.145,0.0,3.422,0.557,0.133,0.172,1.127,3.329,0.464,0.65,0.133,1.671,0.0,3.183,0.557,0.119,0.411
MoDem,0.046,0.004,0.011,0.546,0.074,0.095,0.908,1.401,0.0,0.042,1.954,10.904,0.57,1.063,3.193,0.018,6.742,0.701,29.145,0.056,1.468,2.936,0.141,0.134,0.123,0.025,0.0,0.025,0.18,3.133,0.025,0.053,0.687,0.004,0.546,2.457,1.38,2.785,10.77,0.0,2.158,0.535,0.084,0.359,3.394,3.038,0.729,0.081,0.116,1.567,0.004,2.369,0.768,0.162,0.292
NI,0.065,0.0,0.0,0.259,0.065,0.0,0.649,0.843,0.0,0.389,3.696,9.209,0.519,0.065,2.335,0.0,1.946,1.102,24.708,0.0,1.621,2.335,0.065,0.0,0.195,0.0,0.0,0.0,0.454,5.772,0.065,0.259,0.259,0.0,0.519,2.205,0.843,4.021,18.872,0.0,3.178,1.427,0.13,0.389,2.983,3.956,0.519,0.0,0.324,0.973,0.0,2.075,0.389,0.065,0.259
PS,0.042,0.003,0.016,0.405,0.075,0.113,0.859,0.82,0.003,0.026,2.286,8.773,0.503,0.571,3.385,0.036,5.648,1.08,29.121,0.026,1.222,2.983,0.088,0.143,0.276,0.01,0.003,0.016,0.172,3.112,0.039,0.334,0.652,0.006,0.833,2.347,1.738,4.208,12.761,0.003,2.86,0.545,0.104,0.078,2.451,2.837,0.528,0.068,0.11,2.188,0.0,2.386,0.694,0.143,0.272
UDI-Agir,0.071,0.014,0.007,1.046,0.184,0.24,1.66,1.321,0.0,0.021,2.494,8.337,0.65,0.452,3.236,0.014,5.116,0.692,17.396,0.028,1.865,2.932,0.057,0.134,0.219,0.028,0.0,0.049,0.283,4.31,0.035,0.085,0.784,0.0,0.777,3.773,1.957,2.961,14.654,0.0,4.091,0.707,0.254,0.466,3.582,5.73,0.636,0.163,0.198,2.247,0.0,2.699,0.699,0.212,0.431
