party,External Relations,Freedom & Democracy,Political System,Economy,Welfare & QoL,Fabric of Society,Social Groups
EDS,1.75,13.09,22.64,14.81,33.62,7.42,6.67
GDR-PCF,3.03,11.82,31.44,11.24,27.24,5.96,9.27
LFI,2.92,13.23,32.22,9.34,25.73,9.58,6.97
LR,1.76,12.21,41.44,10.5,18.52,9.76,5.81
LREM,2.89,12.67,36.49,11.34,22.17,8.92,5.51
LT,2.47,9.99,29.02,15.39,30.63,6.57,5.94
MoDem,3.13,14.49,39.8,9.53,19.55,8.34,5.16
NI,2.64,14.99,25.47,8.57,21.31,21.67,5.35
PS,2.36,12.13,39.27,9.91,23.92,6.72,5.68
UDI-Agir,4.56,11.93,26.45,11.59,27.44,11.74,6.29
