party,External Relations,Freedom & Democracy,Political System,Economy,Welfare & QoL,Fabric of Society,Social Groups
EDS,63.5,74.3,71.0,66.7,66.5,69.2,78.0
FN,18.4,21.1,6.3,4.3,3.6,14.6,6.1
GDR-PCF,5.6,8.6,4.2,3.1,5.5,16.8,5.3
LFI,1.8,4.3,2.6,1.7,4.7,12.1,2.1
LR,60.1,37.3,29.6,29.1,23.4,36.4,34.4
LREM,99.2,98.7,99.2,99.5,99.3,97.9,99.6
LT,57.2,49.5,40.1,36.3,32.3,42.1,35.1
MoDem,98.7,96.7,97.9,98.9,98.6,95.3,99.2
NI,70.5,47.4,43.0,48.0,41.5,48.5,47.8
PS,41.9,38.6,21.9,13.0,15.4,33.1,13.1
UDI-Agir,91.6,81.4,80.7,82.4,75.3,71.2,75.9
