party,External Relations,Freedom & Democracy,Political System,Economy,Welfare & QoL,Fabric of Society,Social Groups
EDS,-13.7,-2.9,-6.2,-10.5,-10.7,-8.0,0.8
GDR-PCF,-13.1,-10.1,-14.5,-15.6,-13.2,-1.9,-13.4
LFI,-9.7,-7.2,-8.9,-9.8,-6.8,0.6,-9.4
LR,14.2,-8.6,-16.3,-16.8,-22.5,-9.5,-11.5
LREM,0.1,-0.4,0.1,0.4,0.2,-1.2,0.5
LT,3.2,-4.5,-13.9,-17.7,-21.7,-11.9,-18.9
MoDem,0.0,-2.0,-0.8,0.2,-0.1,-3.4,0.5
NI,21.5,-6.8,-12.4,-7.8,-12.8,-8.3,-3.0
PS,5.2,1.9,-14.8,-23.7,-21.3,-3.6,-23.6
UDI-Agir,5.3,-4.9,-5.6,-3.9,-11.0,-15.1,-10.4
