party,stance,n_sentences,External Relations,Freedom & Democracy,Political System,Economy,Welfare & QoL,Fabric of Society,Social Groups
EDS,opposed,3329,1.0,5.3,24.5,24.6,31.2,9.3,4.1
EDS,supported,8208,0.8,7.1,28.5,22.8,23.9,9.8,7.1
GDR-PCF,opposed,15059,0.7,5.5,28.6,24.7,24.2,10.0,6.4
GDR-PCF,supported,895,0.7,7.7,18.3,12.6,21.8,33.1,5.8
LFI,opposed,17459,0.7,6.2,27.8,23.6,24.4,10.6,6.7
LFI,supported,681,0.3,6.6,16.4,7.2,30.1,36.0,3.4
LR,opposed,15924,0.5,6.1,26.8,22.8,26.7,11.4,5.7
LR,supported,6313,1.9,8.7,27.6,22.2,16.9,14.7,8.0
LREM,supported,23267,1.0,6.8,27.2,22.8,23.8,12.2,6.2
LT,opposed,8810,0.5,5.0,26.4,24.1,27.2,9.6,7.2
LT,supported,4290,1.3,9.2,29.6,22.6,18.4,14.3,4.7
MoDem,opposed,2,0.0,0.0,50.0,0.0,0.0,50.0,0.0
MoDem,supported,22175,1.0,6.7,27.4,23.3,23.4,12.0,6.3
NI,opposed,10617,0.6,6.3,27.1,24.5,23.7,11.0,6.8
NI,supported,1272,4.3,13.6,23.7,11.9,17.4,22.3,6.8
PS,opposed,14625,0.6,4.2,27.2,26.4,26.4,8.6,6.5
PS,supported,3506,1.7,11.3,30.6,15.6,18.9,18.0,3.8
UDI-Agir,opposed,3696,0.2,6.0,24.0,16.3,27.5,18.0,8.0
UDI-Agir,supported,15124,1.1,6.5,28.2,26.0,22.0,9.7,6.5
