party,category,direction,party_pct,corpus_pct,diff_pp
EELV,501 - Environmental Protection: Positive,over,12.28,4.27,8.01
EELV,416 - Anti-Growth Economy: Positive,over,7.9,2.87,5.02
EELV,411 - Technology and Infrastructure,over,8.33,4.41,3.92
EELV,403 - Market Regulation,over,6.58,3.46,3.12
EELV,604 - Traditional Morality: Negative,over,2.19,1.1,1.09
EELV,105 - Military: Negative,over,1.32,0.23,1.09
EELV,701 - Labour Groups: Positive,under,2.63,6.74,-4.11
EELV,605 - Law and Order: Positive,under,3.51,7.3,-3.79
EELV,506 - Education Expansion,under,2.19,5.15,-2.95
EELV,504 - Welfare State Expansion,under,8.77,11.45,-2.67
EELV,303 - Governmental and Administrative Efficiency,under,1.32,3.41,-2.1
EELV,402 - Incentives,under,1.75,3.63,-1.87
FN,601 - National Way of Life: Positive,over,8.76,3.31,5.45
FN,605 - Law and Order: Positive,over,11.31,7.3,4.01
FN,104 - Military: Positive,over,4.38,1.47,2.91
FN,406 - Protectionism: Positive,over,3.65,1.09,2.56
FN,608 - Multiculturalism: Negative,over,2.92,0.64,2.28
FN,403 - Market Regulation,over,5.11,3.46,1.65
FN,305 - Political Authority,under,0.36,5.94,-5.58
FN,701 - Labour Groups: Positive,under,3.65,6.74,-3.09
FN,108 - European Community/Union: Positive,under,1.1,4.09,-3.0
FN,202 - Democracy,under,3.28,5.42,-2.13
FN,501 - Environmental Protection: Positive,under,2.19,4.27,-2.08
FN,416 - Anti-Growth Economy: Positive,under,1.46,2.87,-1.41
LFI,107 - Internationalism: Positive,over,6.74,1.74,5.0
LFI,501 - Environmental Protection: Positive,over,6.74,4.27,2.47
LFI,403 - Market Regulation,over,5.48,3.46,2.03
LFI,416 - Anti-Growth Economy: Positive,over,4.49,2.87,1.62
LFI,106 - Peace,over,1.8,0.26,1.54
LFI,503 - Equality: Positive,over,8.36,6.88,1.47
LFI,402 - Incentives,under,0.45,3.63,-3.18
LFI,305 - Political Authority,under,3.06,5.94,-2.89
LFI,108 - European Community/Union: Positive,under,1.62,4.09,-2.48
LFI,303 - Governmental and Administrative Efficiency,under,1.08,3.41,-2.33
LFI,504 - Welfare State Expansion,under,9.16,11.45,-2.28
LFI,605 - Law and Order: Positive,under,5.3,7.3,-2.0
LR,305 - Political Authority,over,8.51,5.94,2.57
