party,101 - Foreign Special Relationships: Positive,103 - Anti-Imperialism,104 - Military: Positive,105 - Military: Negative,106 - Peace,107 - Internationalism: Positive,108 - European Community/Union: Positive,109 - Internationalism: Negative,110 - European Community/Union: Negative,201 - Freedom and Human Rights,202 - Democracy,203 - Constitutionalism: Positive,204 - Constitutionalism: Negative,301 - Federalism,303 - Governmental and Administrative Efficiency,304 - Political Corruption,305 - Political Authority,401 - Free Market Economy,402 - Incentives,403 - Market Regulation,404 - Economic Planning,405 - Corporatism/ Mixed Economy,406 - Protectionism: Positive,407 - Protectionism: Negative,409 - Keynesian Demand Management,410 - Economic Growth: Positive,411 - Technology and Infrastructure,412 - Controlled Economy,413 - Nationalisation,414 - Economic Orthodoxy,415 - Marxist Analysis: Positive,416 - Anti-Growth Economy: Positive,501 - Environmental Protection: Positive,502 - Culture: Positive,503 - Equality: Positive,504 - Welfare State Expansion,505 - Welfare State Limitation,506 - Education Expansion,601 - National Way of Life: Positive,602 - National Way of Life: Negative,603 - Traditional Morality: Positive,604 - Traditional Morality: Negative,605 - Law and Order: Positive,606 - Civic Mindedness: Positive,607 - Multiculturalism: Positive,608 - Multiculturalism: Negative,701 - Labour Groups: Positive,703 - Agriculture and Farmers: Positive,704 - Middle Class and Professional Groups,705 - Underprivileged Minority Groups,706 - Non-economic Demographic Groups
EELV,0.0,0.0,0.439,1.316,0.439,2.632,3.947,0.0,0.0,0.877,6.14,0.0,0.439,0.0,1.316,0.0,5.263,0.877,1.754,6.579,0.439,0.439,0.439,0.0,0.0,0.0,8.333,0.439,0.0,0.0,0.0,7.895,12.281,1.754,7.018,8.772,0.0,2.193,3.07,0.877,0.0,2.193,3.509,2.193,0.0,0.0,2.632,2.193,0.0,0.0,1.316
FN,0.0,0.0,4.38,0.365,0.0,1.46,1.095,0.0,0.0,1.46,3.285,0.365,0.365,1.46,3.65,0.0,0.365,0.0,3.285,5.109,0.73,0.0,3.65,0.0,0.0,0.73,3.65,0.365,1.825,1.095,0.0,1.46,2.19,2.92,5.474,12.774,0.365,4.745,8.759,0.0,0.0,0.73,11.314,0.365,0.0,2.92,3.65,2.555,0.73,0.365,0.0
LFI,0.09,0.18,1.258,0.449,1.797,6.739,1.617,0.449,0.809,2.066,6.379,0.18,0.719,0.449,1.078,1.617,3.055,0.09,0.449,5.481,0.18,0.0,1.438,0.0,0.09,0.359,5.75,0.539,1.527,0.449,0.09,4.492,6.739,2.336,8.356,9.164,0.0,4.852,2.066,0.09,0.27,0.898,5.301,0.539,0.359,0.27,6.379,1.348,0.27,0.18,0.719
LR,0.0,0.0,1.773,0.0,0.0,0.0,4.255,0.0,0.709,0.355,3.191,0.355,0.0,1.418,4.255,0.0,8.511,1.418,3.901,2.128,0.355,0.355,0.355,0.0,0.355,1.064,2.837,0.0,0.0,1.418,0.0,0.355,3.901,0.709,6.028,11.348,1.418,4.61,5.674,0.355,0.709,0.355,8.865,0.355,0.0,0.355,8.511,2.128,1.418,0.355,3.546
LREM,0.0,0.0,1.036,0.0,0.0,1.036,4.145,0.0,0.518,1.036,3.109,0.0,0.0,1.554,8.549,2.332,2.591,0.777,3.627,2.85,0.259,0.777,0.777,0.0,0.0,0.518,5.959,0.0,0.0,1.554,0.0,0.777,2.85,1.295,9.845,12.176,0.259,6.218,3.886,0.0,0.0,0.259,6.477,1.813,0.259,1.813,5.181,2.591,0.518,0.259,0.518
MoDem,0.0,0.0,1.826,0.0,0.0,3.448,4.868,0.0,0.0,1.014,8.925,0.0,0.0,1.42,4.462,1.014,2.637,0.0,3.043,4.868,1.014,0.811,1.014,0.0,0.0,0.406,5.071,0.0,0.0,1.623,0.0,2.231,2.231,2.434,7.099,11.156,0.0,10.548,3.043,0.0,0.0,0.609,3.854,3.245,1.014,0.0,2.231,2.028,0.406,0.0,0.406
PCF,0.0,0.0,0.0,0.0,0.0,0.0,2.564,0.0,2.564,2.564,10.256,0.0,0.0,0.0,0.0,0.0,23.077,0.0,5.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.128,0.0,0.0,5.128,0.0,0.0,5.128,7.692,0.0,0.0,0.0,0.0,0.0,0.0,7.692,2.564,0.0,0.0,17.949,2.564,0.0,0.0,0.0
PRG,0.0,0.0,2.24,0.16,0.32,2.08,9.12,0.0,0.0,2.08,4.64,0.64,0.32,1.76,5.28,0.0,1.6,0.16,8.64,2.88,0.16,0.16,0.32,0.16,0.0,0.48,4.64,0.16,0.0,1.44,0.0,2.24,2.24,1.76,6.24,11.04,0.0,7.36,0.96,0.0,0.0,4.32,5.76,0.8,0.0,0.64,3.52,2.72,0.32,0.16,0.48
PS,0.0,0.0,0.0,0.0,0.0,0.0,5.063,0.0,0.0,0.0,5.063,0.0,0.0,0.0,1.266,2.532,3.797,0.0,2.532,2.532,0.0,0.0,2.532,0.0,0.0,0.0,5.063,0.0,0.0,0.0,0.0,3.797,6.329,3.797,7.595,18.987,0.0,6.329,0.0,0.0,0.0,1.266,11.392,0.0,0.0,0.0,8.861,1.266,0.0,0.0,0.0
UDI,0.0,0.0,1.773,0.0,0.0,0.0,4.255,0.0,0.709,0.355,3.191,0.355,0.0,1.418,4.255,0.0,8.511,1.418,3.901,2.128,0.355,0.355,0.355,0.0,0.355,1.064,2.837,0.0,0.0,1.418,0.0,0.355,3.901,0.709,6.028,11.348,1.418,4.61,5.674,0.355,0.709,0.355,8.865,0.355,0.0,0.355,8.511,2.128,1.418,0.355,3.546
