party,External Relations,Freedom & Democracy,Political System,Economy,Welfare & QoL,Fabric of Society,Social Groups
EELV,8.77,7.46,6.58,27.19,32.02,11.84,6.14
FN,7.3,5.47,5.47,21.9,28.47,24.09,7.3
LFI,13.39,9.34,6.2,20.93,31.45,9.79,8.89
LR,6.74,3.9,14.18,14.54,28.01,16.67,15.96
LREM,6.74,4.15,15.03,17.88,32.64,14.51,9.07
MoDem,10.14,9.94,9.53,20.08,33.47,11.76,5.07
PCF,5.13,12.82,23.08,15.38,12.82,10.26,20.51
PRG,13.92,7.68,8.64,21.44,28.64,12.48,7.2
PS,5.06,5.06,7.59,16.46,43.04,12.66,10.13
UDI,6.74,3.9,14.18,14.54,28.01,16.67,15.96
