party,category,direction,party_pct,corpus_pct,diff_pp
EDS,501 - Environmental Protection: Positive,over,12.7,3.68,9.01
EDS,503 - Equality: Positive,over,8.3,4.53,3.77
EDS,202 - Democracy,over,8.93,5.19,3.74
EDS,502 - Culture: Positive,over,8.3,5.58,2.72
EDS,201 - Freedom and Human Rights,over,4.44,2.96,1.49
EDS,604 - Traditional Morality: Negative,over,2.79,1.44,1.36
EDS,305 - Political Authority,under,17.82,27.06,-9.25
EDS,504 - Welfare State Expansion,under,4.99,8.7,-3.7
EDS,703 - Agriculture and Farmers: Positive,under,1.06,3.01,-1.95
EDS,104 - Military: Positive,under,0.04,1.46,-1.42
EDS,301 - Federalism,under,0.47,1.56,-1.1
EDS,601 - National Way of Life: Positive,under,1.65,2.61,-0.96
GDR-PCF,504 - Welfare State Expansion,over,12.24,8.7,3.54
GDR-PCF,701 - Labour Groups: Positive,over,3.56,1.5,2.07
GDR-PCF,503 - Equality: Positive,over,5.83,4.53,1.3
GDR-PCF,106 - Peace,over,1.63,1.01,0.62
GDR-PCF,413 - Nationalisation,over,0.84,0.23,0.62
GDR-PCF,703 - Agriculture and Farmers: Positive,over,3.61,3.01,0.6
GDR-PCF,502 - Culture: Positive,under,3.26,5.58,-2.32
GDR-PCF,605 - Law and Order: Positive,under,4.18,5.96,-1.78
GDR-PCF,601 - National Way of Life: Positive,under,1.25,2.61,-1.37
GDR-PCF,104 - Military: Positive,under,0.32,1.46,-1.14
GDR-PCF,501 - Environmental Protection: Positive,under,2.69,3.68,-0.99
GDR-PCF,107 - Internationalism: Positive,under,2.69,3.31,-0.62
LFI,305 - Political Authority,over,37.28,27.06,10.22
LFI,503 - Equality: Positive,over,6.79,4.53,2.27
LFI,506 - Education Expansion,over,4.76,2.54,2.22
LFI,304 - Political Corruption,over,2.76,1.77,0.99
LFI,201 - Freedom and Human Rights,over,3.8,2.96,0.84
LFI,701 - Labour Groups: Positive,over,2.33,1.5,0.83
LFI,504 - Welfare State Expansion,under,5.81,8.7,-2.88
LFI,502 - Culture: Positive,under,2.85,5.58,-2.73
LFI,411 - Technology and Infrastructure,under,1.55,3.69,-2.15
LFI,601 - National Way of Life: Positive,under,0.92,2.61,-1.69
LFI,605 - Law and Order: Positive,under,4.78,5.96,-1.19
LFI,501 - Environmental Protection: Positive,under,2.55,3.68,-1.13
LR,502 - Culture: Positive,over,7.8,5.58,2.22
LR,601 - National Way of Life: Positive,over,3.99,2.61,1.38
LR,411 - Technology and Infrastructure,over,5.0,3.69,1.31
LR,703 - Agriculture and Farmers: Positive,over,4.07,3.01,1.06
LR,305 - Political Authority,over,27.86,27.06,0.8
LR,605 - Law and Order: Positive,over,6.65,5.96,0.69
LR,503 - Equality: Positive,under,2.38,4.53,-2.15
LR,201 - Freedom and Human Rights,under,1.64,2.96,-1.32
LR,501 - Environmental Protection: Positive,under,2.47,3.68,-1.21
LR,107 - Internationalism: Positive,under,2.18,3.31,-1.13
LR,604 - Traditional Morality: Negative,under,0.81,1.44,-0.62
LR,403 - Market Regulation,under,0.87,1.4,-0.53
LREM,411 - Technology and Infrastructure,over,5.09,3.69,1.4
