party,101 - Foreign Special Relationships: Positive,102 - Foreign Special Relationships: Negative,103 - Anti-Imperialism,104 - Military: Positive,105 - Military: Negative,106 - Peace,107 - Internationalism: Positive,108 - European Community/Union: Positive,109 - Internationalism: Negative,110 - European Community/Union: Negative,201 - Freedom and Human Rights,202 - Democracy,203 - Constitutionalism: Positive,204 - Constitutionalism: Negative,301 - Federalism,302 - Centralisation,303 - Governmental and Administrative Efficiency,304 - Political Corruption,305 - Political Authority,401 - Free Market Economy,402 - Incentives,403 - Market Regulation,404 - Economic Planning,405 - Corporatism/ Mixed Economy,406 - Protectionism: Positive,407 - Protectionism: Negative,408 - Economic Goals,409 - Keynesian Demand Management,410 - Economic Growth: Positive,411 - Technology and Infrastructure,412 - Controlled Economy,413 - Nationalisation,414 - Economic Orthodoxy,415 - Marxist Analysis: Positive,416 - Anti-Growth Economy: Positive,501 - Environmental Protection: Positive,502 - Culture: Positive,503 - Equality: Positive,504 - Welfare State Expansion,505 - Welfare State Limitation,506 - Education Expansion,507 - Education Limitation,601 - National Way of Life: Positive,602 - National Way of Life: Negative,603 - Traditional Morality: Positive,604 - Traditional Morality: Negative,605 - Law and Order: Positive,606 - Civic Mindedness: Positive,607 - Multiculturalism: Positive,608 - Multiculturalism: Negative,701 - Labour Groups: Positive,703 - Agriculture and Farmers: Positive,704 - Middle Class and Professional Groups,705 - Underprivileged Minority Groups,706 - Non-economic Demographic Groups
EDS,0.466,0.254,0.0,0.042,0.466,0.592,4.105,0.719,0.0,0.127,4.444,8.929,0.085,0.0,0.466,0.0,0.889,1.65,17.816,0.0,0.085,2.37,0.169,0.0,0.169,0.0,0.0,0.0,0.0,3.047,0.0,0.212,0.466,0.0,1.27,12.696,8.295,8.295,4.994,0.0,1.989,0.0,1.65,0.085,0.254,2.793,5.501,1.27,0.169,0.212,1.1,1.058,0.127,0.254,0.423
FN,0.201,0.315,0.086,0.888,0.831,0.43,1.633,1.289,0.0,0.63,3.008,6.101,0.086,0.0,0.802,0.0,0.229,4.039,36.866,0.172,0.143,0.773,0.029,0.0,0.745,0.0,0.0,0.057,0.172,1.375,0.057,0.115,0.573,0.0,0.115,0.802,5.013,2.234,4.812,0.0,0.602,0.0,3.437,0.344,0.888,0.687,10.541,0.602,0.057,0.974,0.859,5.614,0.487,0.086,0.201
GDR-PCF,0.787,0.229,0.386,0.315,0.472,1.632,2.691,0.916,0.043,0.086,3.121,5.01,0.258,0.129,1.589,0.0,0.601,2.333,27.383,0.0,0.344,1.575,0.086,0.029,0.63,0.029,0.0,0.0,0.2,3.121,0.229,0.845,0.186,0.029,0.2,2.691,3.264,5.826,12.239,0.0,2.734,0.0,1.245,0.673,0.329,0.873,4.18,1.346,0.687,0.014,3.564,3.607,0.458,0.258,0.53
LFI,0.156,0.397,0.468,0.383,0.44,1.375,2.964,0.312,0.028,0.128,3.8,5.374,0.099,0.0,0.581,0.0,0.298,2.765,37.28,0.0,0.071,1.758,0.028,0.028,0.51,0.0,0.0,0.0,0.057,1.546,0.312,0.525,0.227,0.113,0.199,2.552,2.85,6.792,5.814,0.0,4.765,0.0,0.922,1.248,0.043,0.61,4.779,1.39,0.071,0.071,2.326,2.751,0.156,0.326,0.312
LR,0.438,0.109,0.069,1.653,0.277,0.487,2.182,0.972,0.032,0.22,1.635,4.681,0.121,0.042,1.88,0.007,1.242,1.531,27.859,0.059,1.108,0.873,0.079,0.052,0.458,0.045,0.002,0.042,0.433,5.0,0.084,0.099,0.755,0.017,0.465,2.471,7.803,2.38,8.758,0.0,2.486,0.0,3.99,0.426,0.49,0.811,6.65,1.663,0.181,0.349,1.311,4.067,0.611,0.148,0.393
LREM,0.73,0.211,0.058,1.74,0.323,1.048,3.458,1.928,0.021,0.097,2.743,4.354,0.087,0.028,1.117,0.003,0.886,1.113,25.431,0.071,1.235,1.204,0.154,0.073,0.197,0.041,0.003,0.073,0.548,5.093,0.107,0.041,0.55,0.004,1.128,3.779,6.047,4.491,8.279,0.002,2.494,0.002,3.033,0.375,0.262,1.115,6.1,1.667,0.187,0.212,1.304,3.478,0.445,0.21,0.618
LT,0.578,0.279,0.339,0.419,0.299,0.618,2.532,0.319,0.0,0.06,2.771,3.409,0.179,0.279,4.924,0.0,0.738,1.216,24.083,0.04,0.399,1.236,0.199,0.06,0.12,0.04,0.0,0.02,0.239,5.443,0.0,0.179,0.179,0.04,0.558,2.671,5.144,2.532,12.998,0.0,2.771,0.0,4.147,0.478,0.678,4.625,4.585,1.635,0.618,0.159,0.797,3.509,0.279,0.159,0.419
MoDem,1.255,0.166,0.136,3.469,0.638,1.973,5.824,3.088,0.015,0.115,2.791,5.382,0.115,0.015,1.24,0.005,0.843,0.894,24.861,0.02,0.623,1.396,0.095,0.085,0.281,0.055,0.0,0.085,0.482,3.846,0.085,0.065,0.974,0.015,0.597,2.606,4.804,3.494,8.509,0.0,2.249,0.0,2.786,0.251,0.427,0.763,6.06,1.601,0.236,0.196,1.185,2.264,0.296,0.09,0.653
NI,0.39,0.177,0.142,1.807,0.85,0.354,1.772,0.78,0.071,1.701,3.473,3.26,0.071,0.0,1.063,0.0,1.134,2.516,25.23,0.0,1.134,0.602,0.0,0.071,0.602,0.071,0.0,0.035,0.39,2.835,0.0,0.071,0.248,0.0,0.354,2.551,5.067,4.642,9.213,0.0,2.445,0.0,3.189,0.177,1.276,0.957,10.631,0.992,0.248,0.461,0.744,4.926,0.354,0.319,0.602
PS,0.71,0.265,0.164,0.742,0.344,1.179,3.506,1.14,0.031,0.133,2.78,5.114,0.078,0.039,1.585,0.0,0.554,1.28,26.843,0.016,0.328,1.78,0.023,0.062,0.359,0.0,0.008,0.023,0.195,3.834,0.086,0.195,0.281,0.023,0.703,2.951,6.769,5.192,11.017,0.0,2.491,0.0,1.788,0.703,0.398,1.085,5.083,2.147,0.523,0.101,1.562,2.452,0.453,0.203,0.679
