party,External Relations,Freedom & Democracy,Political System,Economy,Welfare & QoL,Fabric of Society,Social Groups
EDS,6.77,13.46,20.82,7.79,36.27,11.93,2.96
GDR-PCF,7.56,8.52,31.91,7.5,26.75,9.35,8.42
LFI,6.65,9.27,40.92,5.37,22.77,9.13,5.87
LR,6.44,6.48,32.52,9.57,23.9,14.56,6.53
LREM,9.61,7.21,28.55,10.52,25.09,12.95,6.06
LT,5.44,6.64,30.96,8.75,26.12,16.93,5.16
MoDem,16.68,8.3,27.84,8.71,21.66,12.32,4.49
NI,7.08,8.13,36.58,5.26,18.14,17.71,7.11
PS,8.21,8.01,30.26,7.92,28.42,11.83,5.35
UDI-Agir,13.87,7.18,31.43,9.04,21.14,13.66,3.68
