id,full_name,twitter_name,twitter_web_urls,tweets_en_captura,top_mentions
718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,1402,diavictimes:204; emmanuelmacron:190; gabrielattal:57; alouismars:39; franceinfo:27; e_dupondm:27; bfmtv:18; enthoven_r:18; gdarmanin:15; arthur_dvx:13; cn2r_france:13; blancgerard13:12; renaissance:12; rtlfrance:12; maxime_boudet:12; nathalieloiseau:12; elysee:10; justice_gouv:9; lcp:9; claudemalhuret:9; ambroise_mejean:9; nbelloubet:9; j_bardella:9; lci:9; brunolemaire:9; le_parisien:6; perrinegoulet:6; bfmmarseille:6; laprovence:6; afpfr:6
713448,Marine Brenier,marinebrenier,twitter.com/marinebrenier,1187,cestrosi:437; marinebrenier:69; villedenice:51; metropolenca:51; pcondomitti:36; estrosi2026:35; anthony_borre:30; jonathandenis:30; ephilippe_lh:27; admdfrance:24; assembleenat:21; avecbrenier:21; pierre_fiori:18; bailetmonique:18; magalialtounian:16; nicolassarkozy:15; eciotti:15; ppleonelli:15; p_pradal:15; efs_dondesang:15; prefet06:12; renaudmuselier:12; yaelbraunpivet:12; eluscontresida:12; emmanuelmacron:12; gdarmanin:12; jeanlucromero:12; stetienne_auron:12; avec_estrosi:10; lesrepublicains:9
441,Huguette Bello,HuguetteBello,twitter.com/HuguetteBello,1174,huguettebello:124; region_reunion:40; assembleenat:30; ipreunion:24; younousomarjee:22; ebareigts:18; la1ere:16; deputespcf:14; lcp:12; jlmelenchon:10; zinfoslive:10; linfore:10; manonaubryfr:8; deputeratenon:8; clicanoore:8; youtube:8; deputesfdg:8; outremers360:6; lequotidien:6; andrechassaigne:6; regionsdefrance:4; franceinsoumise:4; sitouzeceline:4; sebguyon:4; villesaintpaul:4; lequotidienrun:4; mainasage:4; nathaliebassire:4; emman:2; rostane_mehdi:2
774956,Yves Hemedinger,YvesHemedinger,twitter.com/YvesHemedinger,1162,dnatweets:96; roquejeoffre:46; lalsace:38; eciotti:38; olivierclaudon:34; gwgoldnadel:32; julienaubert84:30; bfm_alsace:30; xavierbertrand:24; cnews:20; phdumont:18; villecolmar:18; europe1:16; valeriehayer:14; laurentwauquiez:12; pascalpraud:12; valeurs:10; phdevilliers:10; fxbellamy:10; slerudulier:10; bfmtv:10; bernardcarayon:10; aurelienpradie:10; brunoretailleau:8; guilhemcarayon:8; e2villiers:8; afpfr:8; emmanuelmacron:8; guillaume_bigot:8; renaissance:8
719480,Olivier Gaillard,OliveGaillard30,twitter.com/OliveGaillard30,1160,midilibre:212; gouvernementfr:52; assembleenat:40; olivegaillard30:26; agnesbuzyn:26; gard:24; objectifgard:24; totem_radio:22; brunolemaire:22; bleugardlozere:20; min_ecologie:20; an_finances:20; minsolisante:20; occitanie:18; dguillaume26:18; florence_parly:18; prefet30:18; min_agriculture:14; defense_gouv:14; vidalthomasgard:12; benoitsimian:12; elisabeth_borne:10; economie_gouv:10; midilibreales:10; fderugy:10; ephilippepm:10; an_collterr:8; min_territoires:8; le_figaro:6; alesagglo:6
718838,Fabrice Brun,FabriceBrun,twitter.com/FabriceBrun,1150,auvergnerhalpes:72; assembleenat:54; fabricebrun:8; francealzheimer:6; lcp:6; yannickneuder:6; mathdarnaud:4; anemmontagne:4; ledauphine:4; pannekouckefabr:4; meunier_ph:4; renaudpfeffer:4; charlie_hebdo_:2; telethon_france:2; parcoursup_info:2; gendarmerie:2; francetv:2; lesechos:2; auvergne:2; michelbarnier:2; prefet07:2; yaelbraunpivet:2; ffpjp_officiel:2; brlgroupe:2; tcfia:2; jf_rousset2:2; v_riotton:2; sdispompiers07:2; pont:2; claudeaurias:2
721474,Stéphane Viry,ViryStephane,twitter.com/ViryStephane,1138,stephaneviry:28; groupeliot_an:26; virystephane:16; assembleenat:10; christophe_p:6; michelbarnier:6; astridpanosyan:6; sports_gouv:4; f_gernigon:4; rmcinfo:4; bfmtv:4; sillon_lorrain:4; lcp:4; letelegramme:2; auroreberge:2; viryst:2; mariebarsacq:2; groupesncf:2; philippetabarot:2; deputeeestelle:2; naimamoutchou:2; brunoretailleau:2; cavautrin:2; pompiersfr:2; lemondefr:2; an_afsoc:2; fredvalletoux:2; latribune:2; aurelienpradie:2; heinrichepinal:2
719718,Laurence Maillart-Méhaignerie,LMaillart,twitter.com/LMaillart,1120,emmanuelmacron:106; lcp:48; renaissance_35:40; lmaillart:40; valeriehayer:32; gabrielattal:32; assembleenat:30; equipefra:30; yaelbraunpivet:26; besoindeurope:24; afpfr:20; jy_ledrian:20; jeunesmacron35:16; admdfrance:14; jonathandenis:14; olivierfalorni:14; lesechos:12; renaissance:12; elysee:12; lemondefr:12; france3bretagne:12; ouestfrance:10; zelenskyyua:10; bleuarmorique:10; cessonsevigne:10; deputesre:10; elisabeth_borne:8; ambroise_mejean:8; gerardaraud:8; bfmtv:8
719960,Valéria Faure-Muntian,V_Faure_Muntian,twitter.com/V_Faure_Muntian,1034,larem_an:76; v_faure_muntian:66; assnacofin:36; brunolemaire:34; jeunesmacron42:30; assembleenat:26; brunobonnelloff:26; emmanuelmacron:24; agnesrunacher:22; w4c_france:20; cedric_o:20; an_finances:18; jeancastex:18; verkhovna_rada:16; economie_gouv:16; ffa_assurance:16; bfmtv:14; qbataillon:14; edeponcins:14; prefecture42:14; rmarche42:14; anssi_fr:12; campuscyberfr:12; franceenukraine:12; lcp:12; gouvernementfr:12; b_smart_tv:12; oliviagregoire:12; ambroise_mejean:10; 24hpujadas:10
720968,Justine Benin,Justine_BENIN,twitter.com/Justine_BENIN,1030,justine_benin:58; seblecornu:50; emmanuelmacron:36; outremers360:30; guadeloupela1e:30; pg_basseterre:24; rci_gp:24; olivierveran:22; assembleenat:20; gouvernementfr:18; patrickmignola:18; la1ere:16; stimpflingeric:16; senateurdtheoph:16; ephilippepm:16; departement_971:12; ns_lhebdo:12; annickgirardin:12; prefet971:10; jborellincertin:10; lesoutremer:10; nsemaine:10; deputesdem:10; maeldisav:10; patbraflantrobo:8; procureur_pap:8; mergouv:8; lcp:8; modem:8; olivier_serva:6
